PM,Vmag,Jmag,NUV-Ks,FNUV,FFUV,FX,EWHa,logR,fp.AO,fp.Ha,fp.Sa,fp.SW,fp,LSPM,GALEX,1RXS,L13,2M,Simbad,_RA,_DE
I00001+6943,13.52,9.7,10.95,44.04,,2.9E-13,,-5.67,,,,,N,0,0,1,0,2M,Simbad,0.028531,69.717117
I00024-4601,12.43,9.18,11.98,27.05,5.78,,,-6.22,,,,No,N,0,1,0,0,2M,Simbad,0.612922,-46.028893
I00059+4129,12.96,9.4,11.56,33.08,10.22,,1.14,-7.48,No,No,No,Yes,D,1,0,0,0,2M,Simbad,1.480111,41.491386
I00072-1036,11.85,8.83,11.29,70.18,11.78,4.5E-13,0.8,-5.89,,No,No,,N,0,1,1,0,2M,Simbad,1.808702,-10.607965
I00107-2039,13.39,9.48,11.18,43.77,10.82,9.3E-13,,-5.77,,,,,N,0,1,1,0,2M,Simbad,2.679304,-20.651901
I00117-1139,12.67,9.85,11.05,34.89,,,-0.04,-5.83,,No,,,N,0,1,0,0,2M,Simbad,2.943478,-11.665383
I00118-5521,13.34,9.32,11.5,36.21,18.78,,3.18,-5.86,,No,,,N,0,1,0,0,2M,Simbad,2.954728,-55.364342
I00162+1951W,11.79,7.88,11.64,117.08,22.29,2.4E-12,6.16,-5.9,,No,,,N,1,0,1,1,2M,Simbad,4.060864,19.860563
I00166+3000,12.79,9.11,12.42,20.21,3.56,1.0E-13,,-6.38,,,,,N,1,1,1,0,2M,Simbad,4.168521,30.016624
I00197-2233,13.77,9.88,12.44,9.59,,,,-6.33,,,,,N,0,1,0,0,2M,Simbad,4.939513,-22.55302
I00206-5340,13.8,9.68,13.3,5.18,,,,-6.71,,,,,N,0,0,0,0,2M,Simbad,5.172962,-53.68174
I00211+4456,13.62,9.6,10.89,52.93,,1.1E-12,5.2,-5.67,No,No,No,,N,1,0,1,0,2M,Simbad,5.288945,44.948898
I00216-4605,12.21,8.32,11.14,133.11,28.1,7.5E-12,1.94,-5.76,,No,,No,N,0,1,1,0,2M,Simbad,5.40534,-46.09256
I00234+2418,13.03,9.75,11.01,40.74,,,-0.31,-7.48,Yes,No,,No,D,1,1,0,0,2M,Simbad,5.866634,24.306856
I00235+0947S,12.75,9.79,10.59,56.81,10.92,,-0.77,-7.48,No,No,Yes,,D,1,1,0,0,2M,Simbad,5.890975,9.793301
I00235+2014,11.0,8.14,10.84,193.75,,1.3E-12,0.3,-7.48,No,No,Yes,No,D,0,0,1,1,2M,Simbad,5.894433,20.24132
I00241-6211,11.33,8.38,11.0,144.75,32.66,1.0E-12,0.94,-7.48,,No,,,L,0,1,1,0,2M,Simbad,6.037402,-62.184555
I00245-2522,13.62,9.84,11.29,29.08,5.05,3.1E-13,2.68,-5.84,,No,No,No,N,0,0,1,0,2M,Simbad,6.133438,-25.381353
I00250-3646,12.46,8.64,12.0,42.38,12.2,9.6E-13,1.12,-7.48,,No,,No,L,0,0,1,0,2M,Simbad,6.267888,-36.771549
I00258-0957,13.93,9.88,11.1,34.66,11.37,4.6E-13,4.57,-5.78,,No,No,,N,0,1,1,0,2M,Simbad,6.462417,-9.961114
I00268+4250,13.04,9.39,11.03,56.81,11.82,,3.16,-5.76,No,No,No,No,N,1,1,0,0,2M,Simbad,6.716031,42.834023
I00270+6630,13.16,9.57,11.53,29.89,,4.9E-13,1.29,-5.96,,No,,,N,0,0,1,0,2M,Simbad,6.761791,66.510834
I00341+2523,11.1,8.48,10.94,131.6,18.01,1.2E-12,0.82,-7.48,No,No,No,No,L,0,1,1,1,2M,Simbad,8.535353,25.397142
I00365+5537,12.01,9.21,11.16,57.64,,3.9E-13,0.86,-5.9,No,No,,No,N,0,0,1,0,2M,Simbad,9.143176,55.626667
I00370+4224,13.04,9.68,11.43,29.04,,,0.98,-5.93,No,No,No,No,N,0,1,0,0,2M,Simbad,9.267303,42.410614
I00424-4424E,11.95,9.01,10.37,144.18,27.09,1.1E-12,0.88,-5.48,,No,,No,N,0,1,1,0,2M,Simbad,10.621085,-44.415443
I00428+3532,10.43,7.16,11.06,406.53,77.37,7.4E-12,1.88,-7.48,No,No,,No,L,1,1,1,1,2M,Simbad,10.701005,35.548775
I00445+2933,13.64,9.99,12.55,7.57,,,,-6.42,,,,No,N,1,0,0,0,2M,Simbad,11.130135,29.556528
I00450+2634,12.48,9.53,10.85,56.29,,4.4E-13,1.94,-5.69,No,No,No,No,N,0,1,1,0,2M,Simbad,11.250682,26.569508
I00454-7752,13.13,9.53,11.41,34.19,,5.7E-13,0.59,-5.9,,No,,,N,0,0,1,0,2M,Simbad,11.350915,-77.868767
I00467-0134,13.16,9.92,11.65,18.16,,,0.98,-6.01,,No,,,N,0,0,0,0,2M,Simbad,11.690502,-1.577251
I00483+7116,11.39,8.26,11.33,110.57,,1.2E-12,0.34,-5.86,,No,,,N,1,0,1,1,2M,Simbad,12.087468,71.269829
I00484+2745,12.96,9.7,10.24,85.1,28.86,,2.38,-5.39,No,No,No,No,N,0,1,0,0,2M,Simbad,12.108029,27.758421
I00485+3109,13.13,9.67,11.69,23.41,14.55,,-0.02,-6.04,No,No,,No,N,1,1,0,0,2M,Simbad,12.135831,31.151682
I00503+1052W,13.13,9.62,12.43,12.4,,,1.0,-6.42,,No,No,,N,0,1,0,0,2M,Simbad,12.578229,10.871079
I00505+2449S,12.01,7.95,11.48,132.44,34.91,3.2E-12,4.45,-7.48,Yes,No,No,No,D,2,1,1,1,2M,Simbad,12.63848,24.816727
I00526-0753,13.05,9.53,11.4,33.67,5.69,2.2E-13,1.17,-5.87,,No,No,,N,0,1,1,0,2M,Simbad,13.158821,-7.886011
I00531+4829,12.96,9.43,11.6,30.76,,6.1E-13,-2.6,-7.48,Yes,Yes,,No,D,1,0,1,0,2M,Simbad,13.277118,48.493988
I00560+0249W,13.46,9.84,10.98,36.48,10.85,2.5E-13,2.81,-5.67,No,No,No,,N,0,1,1,0,2M,Simbad,14.003282,2.822468
I00560+4153W,11.55,8.76,10.31,179.82,14.01,2.5E-12,1.3,-5.42,No,No,,No,N,0,1,1,1,2M,Simbad,14.020239,41.890011
I00574+3736,12.4,9.64,10.97,42.6,,,0.4,-7.48,Yes,No,,No,D,0,1,0,0,2M,Simbad,14.371114,37.614101
I01025+7009,12.79,9.55,11.04,45.93,,,,-5.74,,,,,N,0,0,0,0,2M,Simbad,15.630735,70.161339
I01032+3140,13.64,9.56,12.81,9.15,,,,-6.48,,,,No,N,1,0,0,0,2M,Simbad,15.808227,31.6833
I01036+4051,10.89,8.13,10.36,304.85,38.21,3.1E-12,1.35,-5.45,No,No,,No,N,1,1,1,1,2M,Simbad,15.91716,40.858143
I01037+4051W,13.1,9.37,11.32,42.17,10.83,3.1E-12,2.53,-5.83,,No,No,No,"N,Y",2,1,1,0,2M,Simbad,15.925412,40.854427
I01071-1935,11.46,8.15,11.21,149.86,26.56,2.7E-12,1.39,-5.85,,No,No,,N,0,1,1,0,2M,Simbad,16.799789,-19.593336
I01083-2848,13.29,9.09,12.82,13.81,7.94,,,-6.46,,,,,N,0,1,0,0,2M,Simbad,17.076096,-28.805756
I01088-0340,12.98,9.52,12.27,16.04,,2.6E-13,,-6.36,,,,,N,0,1,1,0,2M,Simbad,17.210176,-3.676002
I01096+2931,13.35,9.57,12.46,12.72,,,0.55,-7.48,,No,Yes,No,D,0,1,0,0,2M,Simbad,17.413244,29.519796
I01101+0106,13.66,9.81,12.8,7.66,,,,-6.56,,,,,N,1,1,0,0,2M,Simbad,17.526701,1.106266
I01133+5855,11.57,8.41,11.65,74.19,,1.4E-12,1.25,-7.48,Yes,No,,No,D,1,0,1,1,2M,Simbad,18.332388,58.922882
I01146+7543,13.73,9.65,11.22,35.01,,2.0E-13,,-5.75,,,,,N,1,1,1,0,2M,Simbad,18.665176,75.732132
I01146+2057,12.56,9.86,10.96,35.89,6.83,,0.16,-5.77,No,No,,No,N,0,1,0,0,2M,Simbad,18.667456,20.953632
I01195+1411,13.73,9.54,13.35,5.58,,,,-6.71,,,,,N,1,0,0,0,2M,Simbad,19.896133,14.191391
I01210-0402,12.51,9.72,10.44,69.12,8.84,1.7E-12,1.43,-7.48,,No,No,,L,0,1,1,0,2M,Simbad,20.271069,-4.03563
I01220-3337,11.29,8.31,11.44,100.8,12.64,2.3E-12,0.26,-6.01,,No,,No,"N,Y",0,1,1,0,2M,Simbad,20.51845,-33.61768
I01226+1245N,11.76,8.68,9.26,464.4,4.59,,-0.44,-7.48,No,Yes,,,D,1,1,0,1,2M,Simbad,20.653135,12.752375
I01306-1027,12.63,9.43,11.84,24.98,8.74,2.4E-13,,-6.18,,,,,N,0,1,1,0,2M,Simbad,22.66943,-10.464055
I01312+1654,13.71,9.59,13.4,5.31,,,,-6.79,,,,,N,0,1,0,0,2M,Simbad,22.806999,16.900742
I01339-1738,13.06,8.84,11.66,51.15,12.83,5.8E-13,1.74,-5.96,,No,No,,N,0,1,1,0,2M,Simbad,23.491692,-17.639952
I01361-2652,13.24,9.22,12.21,20.53,4.23,2.6E-13,1.53,-6.16,,No,No,No,N,0,1,1,0,2M,Simbad,24.0364,-26.871162
I01364+4043,13.22,9.73,10.08,96.32,,4.1E-13,2.82,-7.48,No,No,,Yes,D,0,0,1,0,2M,Simbad,24.109173,40.728985
