recno,Name,Teff,e_Teff,theta,e_theta,mBol,Vmag,B-V,U-B,V-Rc,V-Ic,Jmag,Hmag,Ksmag,[M/H],Simbad,_RA,_DE
1,HIP 112,3923,142,0.209,0.016,9.668,10.748,1.41,1.32,0.879,1.722,8.017,7.408,7.217,-0.08,Simbad,0.35768,-16.94845
2,HIP 897,3786,126,0.228,0.016,9.628,10.822,1.463,1.249,0.914,1.826,7.976,7.314,7.119,-0.18,Simbad,2.76921,-5.78397
3,HIP 1734,3397,154,0.306,0.029,9.459,11.133,1.508,1.162,1.009,2.209,7.674,7.052,6.785,0.07,Simbad,5.48352,-31.40607
4,HIP 1842,3327,110,0.241,0.017,10.073,11.886,1.523,1.166,1.042,2.326,8.259,7.64,7.375,0.04,Simbad,5.82719,-50.89387
5,HIP 3143,3573,112,0.22,0.014,9.964,11.401,1.487,1.191,0.968,2.03,8.225,7.609,7.394,-0.22,Simbad,9.9951,-44.25322
6,HIP 3813,3714,123,0.254,0.018,9.479,10.733,1.453,1.236,0.928,1.877,7.804,7.161,6.949,-0.23,Simbad,12.25714,-50.14491
7,HIP 5018,4069,152,0.131,0.01,10.527,11.447,1.332,1.226,0.823,1.558,8.924,8.289,8.134,-0.06,Simbad,16.07637,-57.68597
8,HIP 5266,4156,134,0.147,0.01,10.18,11.019,1.291,1.217,0.793,1.503,8.603,8.001,7.8,-0.13,Simbad,16.8188,-63.39448
9,HIP 5812,3501,96,0.274,0.016,9.573,11.07,1.511,1.185,0.981,2.086,7.805,7.242,6.966,-0.29,Simbad,18.64249,-53.94211
10,HIP 6008,3719,143,0.254,0.02,9.472,10.788,1.473,1.238,0.945,1.934,7.759,7.17,6.906,0.03,Simbad,19.31552,-13.26326
11,HIP 6097,3448,108,0.218,0.014,10.139,11.788,1.466,1.072,1.005,2.221,8.356,7.737,7.55,-0.17,Simbad,19.56671,-12.89984
12,HIP 6365,3556,130,0.228,0.017,9.906,11.4,1.493,1.216,0.98,2.091,8.168,7.536,7.294,-0.07,Simbad,20.43911,-46.71438
13,HIP 7554,3754,154,0.287,0.024,9.169,10.391,1.443,1.24,0.91,1.836,7.497,6.851,6.621,-0.03,Simbad,24.33676,-49.19566
14,HIP 7817,4049,112,0.126,0.007,10.63,11.482,1.257,1.054,0.791,1.497,9.075,8.432,8.252,-0.65,Simbad,25.14419,-30.72846
15,HIP 8051,3359,79,0.356,0.018,9.18,10.913,1.541,1.197,1.035,2.3,7.37,6.809,6.516,-0.25,Simbad,25.83408,4.32166
16,HIP 8691,3478,78,0.209,0.01,10.184,11.798,1.487,1.115,1.018,2.214,8.375,7.849,7.631,-0.45,Simbad,27.95286,-10.80347
17,HIP 9724,3279,115,0.547,0.04,8.355,10.205,1.524,1.143,1.048,2.343,6.542,5.898,5.662,0.04,Simbad,31.2702,-17.61463
18,HIP 10279,3577,85,0.409,0.021,8.607,10.042,1.435,1.075,0.95,2.054,6.83,6.321,6.077,-0.44,Simbad,33.08745,3.57562
19,HIP 12749,3576,87,0.176,0.009,10.445,11.914,1.469,1.074,0.967,2.089,8.693,8.103,7.922,-0.44,Simbad,40.97174,-8.82937
20,HIP 13389,3268,57,0.323,0.013,9.515,11.382,1.585,1.198,1.064,2.39,7.671,7.115,6.829,-0.25,Simbad,43.09237,-63.67982
21,HIP 18253,3726,137,0.147,0.011,10.651,11.875,1.461,1.259,0.901,1.808,8.94,8.335,8.143,-0.16,Simbad,58.56667,8.55867
22,HIP 19394,3247,66,0.283,0.013,9.826,11.811,1.491,1.095,1.077,2.491,7.948,7.428,7.135,-0.08,Simbad,62.31527,-53.3737
23,HIP 20142,4000,117,0.213,0.013,9.54,10.498,1.381,1.28,0.848,1.613,7.932,7.322,7.139,-0.35,Simbad,64.77398,-4.14881
24,HIP 21556,3452,104,0.418,0.027,8.715,10.328,1.508,1.196,1.006,2.191,6.943,6.331,6.091,-0.19,Simbad,69.42444,-11.03887
25,HIP 22627,3088,50,0.33,0.013,9.716,12.018,1.55,1.223,1.164,2.684,7.814,7.209,6.942,0.02,Simbad,73.02386,6.47654
26,HIP 22762,3395,79,0.342,0.017,9.227,10.894,1.549,1.155,1.018,2.223,7.413,6.86,6.598,-0.27,Simbad,73.45825,-17.77342
27,HIP 24392,4140,127,0.197,0.013,9.56,10.418,1.313,1.27,0.808,1.495,7.967,7.347,7.18,0.01,Simbad,78.49656,-21.97356
28,HIP 24472,3557,108,0.207,0.013,10.113,11.542,1.531,1.16,0.972,2.035,8.355,7.815,7.518,-0.23,Simbad,78.78351,-7.3468
29,HIP 29132,4249,126,0.183,0.011,9.61,10.342,1.253,1.179,0.761,1.399,8.078,7.464,7.333,-0.67,Simbad,92.16962,9.47824
30,HIP 34361,3439,134,0.304,0.025,9.423,11.081,1.44,1.058,0.989,2.214,7.628,7.027,6.799,-0.04,Simbad,106.8455,-21.45759
31,HIP 34712,3734,112,0.203,0.013,9.941,11.157,1.478,1.275,0.919,1.849,8.281,7.636,7.406,-0.28,Simbad,107.83218,-67.12276
32,HIP 37217,3236,52,0.298,0.011,9.733,11.707,1.588,1.223,1.097,2.477,7.848,7.334,7.063,-0.31,Simbad,114.67066,-21.22458
33,HIP 37288,3776,145,0.402,0.032,8.408,9.589,1.466,1.273,0.906,1.812,6.769,6.092,5.872,-0.12,Simbad,114.84599,2.18366
34,HIP 40670,4053,139,0.127,0.009,10.597,11.533,1.348,1.311,0.832,1.584,8.984,8.37,8.227,-0.18,Simbad,124.53813,-48.28099
35,HIP 42762,3302,76,0.26,0.013,9.94,11.806,1.551,1.17,1.066,2.388,8.122,7.49,7.283,-0.2,Simbad,130.71762,9.5531
36,HIP 43790,3828,168,0.323,0.029,8.83,9.955,1.414,1.273,0.883,1.751,7.191,6.523,6.352,-0.11,Simbad,133.78176,1.54651
37,HIP 44722,3801,132,0.42,0.03,8.289,9.478,1.45,1.256,0.914,1.825,6.641,5.982,5.757,-0.08,Simbad,136.68894,-8.80684
38,HIP 49544,3924,149,0.306,0.024,8.837,9.914,1.398,1.284,0.867,1.7,7.189,6.542,6.395,-0.06,Simbad,151.73693,2.96441
