recno,SpType,SpTnum,LClass,u-g,g-r,r-i,i-z,z-J,J-H,H-Ks,JMAG,KM
26,K4,-3.0,V,2.21,1.0,0.38,0.16,1.01,0.59,0.1,5.21,false
27,K5,-2.0,V,2.54,1.18,0.4,0.2,1.06,0.62,0.1,5.45,true
28,K7,-1.0,V,2.56,1.34,0.54,0.3,1.01,0.6,0.11,5.77,true
29,M0,0.0,V,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,true
30,M1,1.0,V,2.72,1.33,0.78,0.46,1.2,0.67,0.25,6.04,true
31,M2,2.0,V,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,true
32,M2.5,2.5,V,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,true
33,M3,3.0,V,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,true
34,M4,4.0,V,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,true
35,M5,5.0,V,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,true
36,M6,6.0,V,2.99,1.72,2.12,1.24,2.31,0.66,0.32,7.72,true
