recno,g-i,Nstars,u-g,e_u-g,g-r,e_g-r,r-i,e_r-i,i-z,e_i-z,z-J,e_z-J,J-H,e_J-H,H-Ks,e_H-Ks
1,0.1,25,1.05,0.67,0.09,0.04,0.02,0.02,-0.03,0.06,0.76,0.19,0.23,0.38,0.12,0.51
2,0.2,70,1.06,0.1,0.18,0.03,0.03,0.03,-0.02,0.06,0.77,0.07,0.22,0.07,0.09,0.11
3,0.26,15,1.05,0.05,0.21,0.01,0.06,0.01,-0.03,0.02,0.77,0.03,0.22,0.04,0.08,0.01
4,0.28,50,1.07,0.07,0.22,0.02,0.06,0.02,-0.03,0.03,0.77,0.04,0.24,0.05,0.05,0.08
5,0.3,49,1.07,0.07,0.24,0.03,0.06,0.03,0.0,0.04,0.79,0.04,0.23,0.06,0.08,0.1
6,0.32,132,1.05,0.1,0.25,0.03,0.08,0.02,0.0,0.04,0.78,0.04,0.25,0.06,0.06,0.09
7,0.34,86,1.09,0.09,0.26,0.02,0.09,0.02,0.0,0.04,0.8,0.04,0.25,0.07,0.06,0.07
8,0.36,212,1.07,0.1,0.28,0.03,0.09,0.02,0.0,0.03,0.8,0.04,0.26,0.05,0.06,0.07
9,0.38,178,1.08,0.07,0.29,0.03,0.09,0.03,0.01,0.04,0.81,0.04,0.28,0.05,0.06,0.08
10,0.4,442,1.07,0.09,0.3,0.02,0.1,0.03,0.01,0.03,0.81,0.04,0.28,0.06,0.06,0.07
11,0.42,383,1.1,0.07,0.32,0.02,0.11,0.02,0.01,0.03,0.82,0.04,0.29,0.05,0.07,0.07
12,0.44,903,1.1,0.08,0.33,0.03,0.11,0.02,0.02,0.04,0.82,0.04,0.29,0.05,0.07,0.07
13,0.46,706,1.11,0.07,0.34,0.02,0.12,0.02,0.02,0.03,0.83,0.04,0.3,0.05,0.08,0.07
14,0.48,1494,1.12,0.08,0.36,0.02,0.12,0.02,0.02,0.04,0.84,0.04,0.31,0.05,0.07,0.07
15,0.5,1198,1.14,0.07,0.37,0.02,0.13,0.02,0.03,0.03,0.84,0.04,0.31,0.06,0.07,0.07
16,0.52,2351,1.15,0.08,0.38,0.02,0.14,0.02,0.03,0.03,0.85,0.04,0.32,0.06,0.07,0.07
17,0.54,1859,1.18,0.09,0.4,0.02,0.14,0.02,0.03,0.03,0.85,0.04,0.33,0.05,0.07,0.08
18,0.56,3276,1.2,0.09,0.41,0.02,0.15,0.02,0.04,0.03,0.86,0.04,0.33,0.06,0.07,0.07
19,0.58,2325,1.22,0.09,0.43,0.02,0.15,0.02,0.04,0.03,0.87,0.04,0.34,0.05,0.07,0.07
20,0.6,3746,1.25,0.1,0.44,0.02,0.16,0.02,0.04,0.03,0.87,0.04,0.34,0.06,0.07,0.07
21,0.62,2732,1.28,0.1,0.46,0.02,0.16,0.02,0.05,0.04,0.88,0.04,0.35,0.06,0.08,0.07
22,0.64,3831,1.31,0.11,0.47,0.03,0.17,0.02,0.05,0.03,0.89,0.04,0.35,0.05,0.08,0.07
23,0.66,2794,1.34,0.12,0.48,0.02,0.17,0.02,0.05,0.03,0.89,0.04,0.36,0.06,0.08,0.07
