recno,g-i,Nstars,u-g,e_u-g,g-r,e_g-r,r-i,e_r-i,i-z,e_i-z,z-J,e_z-J,J-H,e_J-H,H-Ks,e_H-Ks
1,0.2,5708,1.087,0.032,0.268,0.029,0.082,0.021,-0.007,0.018,0.772,0.034,0.245,0.041,0.039,0.045
2,0.3,4264,1.077,0.066,0.303,0.025,0.098,0.017,0.01,0.02,0.79,0.033,0.269,0.04,0.044,0.046
3,0.35,9259,1.082,0.052,0.327,0.026,0.118,0.022,0.018,0.021,0.807,0.034,0.289,0.042,0.044,0.046
4,0.4,15934,1.075,0.042,0.374,0.031,0.132,0.021,0.031,0.019,0.829,0.036,0.314,0.043,0.048,0.046
5,0.42,2494,1.112,0.029,0.366,0.029,0.133,0.024,0.01,0.02,0.829,0.034,0.3,0.043,0.047,0.045
6,0.44,7690,1.123,0.031,0.404,0.035,0.125,0.019,0.03,0.018,0.834,0.035,0.313,0.042,0.048,0.045
7,0.46,7205,1.148,0.026,0.395,0.035,0.129,0.02,0.024,0.019,0.835,0.035,0.312,0.043,0.048,0.046
8,0.48,8362,1.164,0.025,0.39,0.031,0.135,0.021,0.026,0.02,0.835,0.035,0.314,0.043,0.049,0.046
9,0.5,12495,1.187,0.024,0.408,0.034,0.136,0.02,0.028,0.019,0.842,0.035,0.319,0.044,0.051,0.045
10,0.52,15381,1.214,0.024,0.415,0.033,0.14,0.021,0.032,0.019,0.846,0.036,0.323,0.043,0.052,0.045
11,0.54,17938,1.243,0.024,0.422,0.032,0.142,0.021,0.036,0.02,0.848,0.036,0.326,0.044,0.054,0.045
12,0.56,14849,1.267,0.021,0.432,0.035,0.144,0.022,0.033,0.019,0.853,0.037,0.328,0.044,0.055,0.045
13,0.58,18483,1.295,0.02,0.441,0.033,0.148,0.022,0.04,0.02,0.856,0.037,0.334,0.045,0.056,0.045
14,0.6,20604,1.326,0.02,0.454,0.035,0.151,0.022,0.042,0.02,0.861,0.037,0.338,0.046,0.057,0.045
15,0.62,21041,1.359,0.021,0.466,0.033,0.156,0.024,0.048,0.022,0.866,0.038,0.344,0.047,0.059,0.045
16,0.64,17884,1.39,0.02,0.481,0.036,0.16,0.024,0.047,0.02,0.874,0.039,0.349,0.047,0.061,0.044
17,0.66,20635,1.425,0.022,0.496,0.036,0.164,0.025,0.056,0.024,0.879,0.039,0.358,0.049,0.063,0.044
18,0.68,15959,1.456,0.02,0.508,0.036,0.169,0.026,0.055,0.022,0.886,0.041,0.362,0.051,0.063,0.045
19,0.7,16320,1.488,0.022,0.524,0.037,0.175,0.027,0.062,0.024,0.894,0.041,0.372,0.052,0.065,0.045
20,0.72,16901,1.521,0.023,0.539,0.038,0.18,0.029,0.067,0.025,0.9,0.043,0.38,0.054,0.067,0.045
21,0.74,16239,1.554,0.023,0.556,0.038,0.187,0.03,0.07,0.025,0.909,0.044,0.389,0.054,0.069,0.044
22,0.76,16593,1.59,0.025,0.565,0.038,0.189,0.032,0.073,0.028,0.912,0.045,0.391,0.057,0.071,0.044
23,0.78,11516,1.616,0.023,0.589,0.039,0.198,0.028,0.079,0.024,0.925,0.043,0.408,0.054,0.072,0.044
