recno,g-i,Nstars,Ks-W1,e_Ks-W1,W1-W2,e_W1-W2,NStarsW3,W2-W3,e_W2-W3
1,0.2,5708,0.032,0.047,-0.016,0.024,1,,
2,0.3,4264,0.033,0.047,-0.017,0.024,1,,
3,0.35,9259,0.035,0.046,-0.017,0.023,1,,
4,0.4,15934,0.038,0.047,-0.018,0.023,1,,
5,0.42,2494,0.035,0.045,-0.021,0.022,1,,
6,0.44,7690,0.037,0.046,-0.022,0.022,1,,
7,0.46,7205,0.037,0.046,-0.023,0.022,1,,
8,0.48,8362,0.037,0.046,-0.022,0.022,1,,
9,0.5,12495,0.037,0.045,-0.024,0.022,1,,
10,0.52,15381,0.038,0.045,-0.026,0.022,1,,
11,0.54,17938,0.037,0.045,-0.027,0.022,1,,
12,0.56,14849,0.037,0.045,-0.028,0.022,1,,
13,0.58,18483,0.037,0.045,-0.029,0.022,1,,
14,0.6,20604,0.038,0.045,-0.03,0.022,1,,
15,0.62,21041,0.038,0.045,-0.031,0.022,1,,
16,0.64,17884,0.038,0.044,-0.033,0.022,1,,
17,0.66,20635,0.04,0.044,-0.034,0.022,1,,
18,0.68,15959,0.039,0.045,-0.035,0.022,1,,
19,0.7,16320,0.041,0.044,-0.036,0.022,1,,
20,0.72,16901,0.041,0.045,-0.037,0.022,1,,
21,0.74,16239,0.041,0.044,-0.039,0.022,1,,
22,0.76,16593,0.041,0.045,-0.04,0.023,1,,
23,0.78,11516,0.042,0.044,-0.041,0.022,1,,
24,0.8,16295,0.043,0.043,-0.042,0.023,1,,
25,0.82,17085,0.043,0.043,-0.044,0.023,1,,
26,0.84,15224,0.045,0.043,-0.045,0.023,1,,
27,0.86,13197,0.045,0.043,-0.046,0.023,1,,
28,0.88,14413,0.045,0.043,-0.047,0.023,1,,
29,0.9,13647,0.046,0.042,-0.047,0.023,1,,
30,0.92,15921,0.046,0.042,-0.049,0.023,1,,
31,0.94,10991,0.046,0.043,-0.05,0.023,1,,
32,0.96,9534,0.048,0.043,-0.05,0.024,1,,
33,0.98,9712,0.046,0.043,-0.051,0.023,1,,
34,1.0,8580,0.047,0.042,-0.053,0.023,1,,
35,1.02,10504,0.049,0.042,-0.052,0.024,1,,
36,1.04,7364,0.048,0.043,-0.054,0.023,1,,
37,1.06,8423,0.05,0.043,-0.052,0.024,1,,
38,1.08,9310,0.048,0.041,-0.054,0.024,2,,
39,1.1,9279,0.049,0.042,-0.055,0.023,2,,
40,1.12,4644,0.052,0.042,-0.052,0.025,2,,
41,1.14,9176,0.05,0.041,-0.057,0.024,3,,
42,1.16,5072,0.05,0.042,-0.054,0.024,1,,
43,1.18,7340,0.05,0.042,-0.055,0.022,2,,
44,1.2,5922,0.052,0.042,-0.056,0.025,2,,
45,1.22,6207,0.052,0.042,-0.056,0.024,2,,
46,1.24,5223,0.052,0.042,-0.055,0.023,2,,
47,1.26,6916,0.053,0.042,-0.057,0.024,2,,
48,1.28,4426,0.057,0.042,-0.056,0.027,2,,
49,1.3,6799,0.053,0.042,-0.055,0.023,3,,
50,1.32,5753,0.056,0.042,-0.059,0.026,1,,
51,1.34,3701,0.055,0.041,-0.053,0.023,3,,
52,1.36,5487,0.054,0.043,-0.059,0.024,2,,
53,1.38,3852,0.056,0.042,-0.057,0.024,1,,
54,1.4,2865,0.057,0.041,-0.055,0.023,3,,
55,1.42,5454,0.056,0.041,-0.057,0.025,6,,0.121
56,1.44,17967,0.058,0.042,-0.056,0.024,16,,0.131
57,1.46,1084,0.058,0.038,-0.051,0.022,0,,
58,1.48,3577,0.06,0.041,-0.041,0.023,0,,
59,1.5,198,0.069,0.041,-0.034,0.023,0,,
60,1.52,3009,0.059,0.041,-0.052,0.023,0,,
61,1.54,1232,0.06,0.042,-0.054,0.026,0,,
62,1.56,20646,0.062,0.04,-0.055,0.024,36,0.138,0.092
63,1.58,617,0.062,0.041,-0.037,0.024,0,,
64,1.6,5582,0.064,0.04,-0.041,0.025,23,0.128,0.133
65,1.62,1536,0.067,0.04,-0.029,0.025,0,,
66,1.64,1424,0.069,0.04,-0.029,0.026,0,,
67,1.66,1041,0.066,0.042,-0.027,0.026,0,,
68,1.68,7220,0.07,0.041,-0.031,0.027,15,0.111,0.117
69,1.7,1238,0.073,0.043,-0.027,0.029,0,,
70,1.72,1412,0.074,0.041,-0.026,0.028,10,0.12,0.117
71,1.74,2742,0.076,0.043,-0.011,0.028,8,0.13,0.039
72,1.76,6020,0.077,0.04,-0.023,0.028,24,0.133,0.113
73,1.78,1744,0.078,0.041,-0.016,0.03,12,0.139,0.116
74,1.8,6411,0.079,0.041,-0.015,0.03,28,0.166,0.07
75,1.82,4622,0.081,0.042,-0.006,0.032,29,0.164,0.088
76,1.84,3661,0.084,0.042,-0.003,0.031,23,0.15,0.101
77,1.86,2737,0.083,0.042,-0.001,0.032,14,0.15,0.132
78,1.88,8148,0.088,0.042,0.004,0.033,50,0.156,0.114
79,1.9,3263,0.086,0.043,-0.004,0.034,17,0.146,0.102
80,1.92,6430,0.091,0.042,0.007,0.035,36,0.14,0.078
81,1.94,6049,0.093,0.042,0.014,0.036,37,0.144,0.088
82,1.96,5301,0.094,0.043,0.014,0.037,46,0.156,0.107
83,1.98,7282,0.098,0.041,0.023,0.037,72,0.155,0.076
84,2.0,5371,0.095,0.043,0.013,0.038,58,0.162,0.103
85,2.02,7352,0.1,0.042,0.03,0.039,64,0.166,0.097
86,2.04,5862,0.099,0.043,0.029,0.04,61,0.166,0.086
87,2.06,7609,0.104,0.042,0.039,0.04,70,0.156,0.093
88,2.08,6186,0.103,0.044,0.031,0.041,59,0.151,0.088
89,2.1,7568,0.107,0.042,0.044,0.04,77,0.145,0.065
90,2.12,7351,0.107,0.045,0.045,0.041,62,0.143,0.082
91,2.14,7700,0.11,0.042,0.05,0.042,111,0.139,0.088
92,2.16,7559,0.109,0.044,0.051,0.042,86,0.145,0.097
93,2.18,8415,0.112,0.042,0.063,0.042,115,0.149,0.092
94,2.2,6862,0.113,0.043,0.061,0.042,74,0.152,0.105
95,2.22,7388,0.115,0.043,0.068,0.043,103,0.149,0.093
96,2.24,7318,0.116,0.044,0.065,0.042,122,0.151,0.091
97,2.26,9662,0.118,0.043,0.08,0.043,154,0.152,0.091
98,2.28,8913,0.119,0.043,0.081,0.044,132,0.151,0.089
99,2.3,7469,0.119,0.043,0.084,0.043,142,0.149,0.086
100,2.32,7148,0.123,0.043,0.09,0.043,100,0.151,0.087
101,2.34,8646,0.122,0.043,0.097,0.043,148,0.15,0.099
102,2.36,7305,0.124,0.043,0.093,0.042,158,0.152,0.082
103,2.38,8302,0.125,0.043,0.105,0.042,146,0.151,0.093
104,2.4,8754,0.125,0.043,0.11,0.041,205,0.156,0.088
105,2.42,6784,0.127,0.044,0.107,0.041,153,0.155,0.083
106,2.44,7966,0.128,0.044,0.118,0.041,166,0.157,0.09
107,2.46,6935,0.129,0.043,0.117,0.04,136,0.157,0.079
108,2.48,7707,0.13,0.043,0.126,0.04,158,0.159,0.081
109,2.5,6756,0.133,0.044,0.125,0.04,143,0.154,0.086
110,2.52,8604,0.132,0.043,0.13,0.039,196,0.152,0.098
111,2.54,7249,0.132,0.043,0.135,0.039,218,0.152,0.085
112,2.56,5174,0.134,0.045,0.137,0.038,81,0.15,0.085
113,2.58,6122,0.14,0.042,0.137,0.036,174,0.148,0.08
114,2.6,7068,0.137,0.043,0.143,0.038,172,0.15,0.09
115,2.62,7910,0.139,0.043,0.147,0.037,259,0.157,0.078
116,2.64,5324,0.141,0.043,0.146,0.036,124,0.157,0.086
117,2.66,5089,0.143,0.045,0.149,0.036,85,0.16,0.083
118,2.68,6447,0.145,0.043,0.153,0.035,211,0.165,0.072
119,2.7,9850,0.146,0.045,0.152,0.035,221,0.167,0.082
120,2.74,9647,0.148,0.043,0.16,0.034,341,0.168,0.089
121,2.78,6819,0.152,0.044,0.161,0.033,208,0.17,0.083
122,2.82,6949,0.154,0.044,0.166,0.033,165,0.17,0.078
123,2.86,6293,0.156,0.043,0.168,0.032,263,0.171,0.072
124,2.9,4486,0.162,0.044,0.175,0.031,124,0.172,0.086
125,2.94,4443,0.164,0.046,0.175,0.031,91,0.176,0.084
126,2.98,4412,0.167,0.043,0.183,0.027,224,0.179,0.083
127,3.02,2973,0.171,0.044,0.183,0.028,53,0.183,0.09
128,3.06,2573,0.176,0.044,0.191,0.026,103,0.187,0.083
129,3.1,4916,0.181,0.044,0.192,0.027,182,0.199,0.078
130,3.2,3075,0.188,0.044,0.2,0.025,121,0.202,0.082
131,3.3,2161,0.194,0.043,0.205,0.024,100,0.216,0.098
132,3.4,2255,0.199,0.044,0.21,0.025,80,0.225,0.066
133,3.6,924,0.208,0.046,0.216,0.024,31,0.236,0.088
134,3.8,641,0.215,0.046,0.224,0.026,0,,
135,4.2,152,0.226,0.052,0.229,0.029,0,,
