2MASS,OSpT,OGrav,IRSpT,IGrav,f_IRSpT,Plx,e_Plx,Dist,e_Dist,logL,e_logL,Teff,e_Teff,Mass,e_Mass
00040288-6410358,L1,gamma,L1,gamma,a,,,17,1,-3.48,0.051,1904.0,63.0,16.11,2.9
00191296-6226005,-,-,L1,gamma,,,,21,6,-3.644,0.248,1755.0,258.0,14.88,4.52
00192626+4614078,M8,-,M8,beta,,,,31,3,-2.773,0.129,2637.0,371.0,66.62,48.99
00274197+0503417,M9.5,beta,L0,beta,,13.8,1.6,,,-3.545,0.101,1945.0,197.0,31.64,19.25
00303013-1450333,L7,-,L4-L6,beta,,37.42,4.5,,,-4.378,0.105,1436.0,131.0,50.89,23.43
00325584-4405058,L0,gamma,L0,beta,,21.6,7.2,,,-3.388,0.289,2066.0,413.0,41.64,29.47
003323.86-152130.9,L4,beta,L1,,,24.8,2.5,,,-3.616,0.088,1880.0,173.0,29.68,17.71
00381489-6403529,-,-,M9.5,beta,,,,23,5,-3.423,0.189,1957.0,226.0,22.03,9.39
00452143+1634446,L2,beta,L2,gamma,,62.5,3.7,,,-3.405,0.031,2059.0,45.0,24.98,4.62
00470038+6803543,L7,gamma?,L6-L8,gamma,,82.0,3.0,,,-4.429,0.033,1230.0,27.0,11.84,2.63
00584253-0651239,L0,-,L1,beta,,33.8,4.0,,,-3.635,0.103,1860.0,180.0,29.48,17.76
01033203+1935361,L6,beta,L6,beta,,46.9,7.6,,,-4.407,0.141,1223.0,113.0,12.82,8.43
01174748-3403258,L1,beta,L1,beta,a,,,20,3,-3.477,0.13,1902.0,152.0,16.36,3.69
01205114-5200349,-,-,L1,gamma,,,,24,4,-3.737,0.145,1685.0,145.0,13.97,3.51
01231125-6921379,M7.5,gamma,-,-,,21.6,3.3,,,-2.525,0.133,2743.0,317.0,55.56,33.21
01415823-4633574,L0,gamma,L0,gamma,,,,25,3,-3.485,0.104,1899.0,123.0,16.2,3.4
01531463-6744181,L2,-,L3,beta,,,,21,7,-3.91,0.29,1545.0,264.0,11.89,5.36
02103857-3015313,L0,gamma,L0,gamma,a,,,32,8,-3.826,0.217,1610.0,207.0,13.03,4.31
02212859-6831400,M8,beta,-,-,,25.4,3.6,,,,,,,,
02215494-5412054,M9,beta,-,-,,,,31,5,,,,,,
02235464-5815067,L0,gamma,-,-,,27.4,2.6,,,-3.509,0.082,1879.0,98.0,15.91,3.12
02340093-6442068,L0,gamma,L0,beta gamma,,,,21,5,-3.538,0.207,1848.0,229.0,15.97,4.29
02410564-5511466,-,-,L1,gamma,,,,24,4,-3.679,0.145,1731.0,151.0,14.49,3.49
02411151-0326587,L0,gamma,L1,gamma,,21.4,2.6,,,-3.717,0.106,1787.0,172.0,27.68,16.67
02501167-0151295,-,-,M7,beta,,30.2,4.5,,,-3.001,0.129,2821.0,242.0,103.42,16.17
02530084+1652532,-,-,M7,beta,,260.63,2.69,,,-3.193,0.121,2641.0,210.0,90.37,13.88
02535980+3206373,M7,beta,M6,beta,,17.7,2.5,,,-2.788,0.123,2627.0,362.0,65.02,47.48
03231002-4631237,L0,gamma,L0,gamma,a,,,17,3,-3.348,0.153,2031.0,201.0,23.17,9.75
