q_PM,PM,m_PM,HIP,TYC1,TYC2,TYC3,RAJ2000,DEJ2000,plx,e_plx,r_plx,pmRA,pmDE,Vmag1,r_Vmag1,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,SpT,TiO5,e_TiO5,CaH2,e_CaH2,CaH3,e_CaH3,EWBaII,e_EWBaII,EWNaI,e_EWNaI,EWKI,e_EWKI,EWHa,e_EWHa,[Fe/H],e_[Fe/H],Teff,e_Teff,n_Teff,l_R,R,e_R,l_L,L,e_L,l_M,M,e_M,2MASS,fl,d,SimbadName
B,I00005-0533,S,,,,,00 00 34.8,-05 33 07,,,,181,67,12.3,APASS,13.71,0.04,12.3,0.04,12.95,0.03,11.53,0.12,10.64,0.11,8.998,0.02,8.389,0.044,8.168,0.017,M2,0.697,0.01,0.633,0.002,0.831,0.002,-6.03,0.17,1.021,0.088,0.966,0.049,-0.43,0.07,-0.04,0.12,3755,100,PHX,,0.51,0.05,,0.045,0.012,,0.55,0.07,00003477-0533070,0,,PM J00005-0533
A,I00012+1358N,,96,600,1507,1,00 01 13.2,+13 58 30,0.0285,0.005,VL07,28,139,10.61,HIPPA,,,,,,,,,,,7.798,0.023,7.179,0.033,7.023,0.026,,,,,,,,,,,,,,,,,,3978,44,V-J,,0.59,0.04,,0.076,0.008,,0.63,0.07,00011318+1358302,0,35.1,PM J00012+1358N
A,I00013+3416,,111,2267,1234,1,00 01 24.0,+34 16 54,0.026,0.0023,VL07,257,-4,11.41,HIPPA,12.67,0.03,11.38,0.02,12.04,0.03,10.71,0.02,10.05,0.02,8.598,0.023,7.963,0.016,7.795,0.019,M0,0.852,0.012,0.795,0.01,0.907,0.011,-3.41,0.37,1.084,0.364,0.559,0.071,-0.6,0.12,,,4157,96,PHX,,0.63,0.04,,0.107,0.02,,0.67,0.07,00012392+3416547,0,38.5,PM J00013+3416
A,I00014-1656,S,112,5838,784,1,00 01 25.8,-16 56 54,0.0311,0.0022,VL07,296,-254,10.85,HIPPA,12.16,0.03,10.87,0.01,11.49,0.04,10.18,0.03,9.54,0.02,8.017,0.021,7.408,0.038,7.217,0.021,M0,0.809,0.007,0.773,0.003,0.897,0.003,-4.34,0.15,1.225,0.107,0.75,0.024,-0.68,0.06,-0.45,0.12,4021,80,PHX,,0.6,0.04,,0.082,0.014,,0.64,0.07,00012581-1656541,0,32.1,PM J00014-1656
A,I00021-6816E,,,,,,00 02 09.3,-68 16 53,0.0652,0.0018,VL07,207,-232,10.42,ASCC2,,,,,,,,,,,7.674,,6.629,0.08,6.825,,,,,,,,,,,,,,,,,,,4029,40,V-J,,0.6,0.04,,0.084,0.008,,0.64,0.07,00020939-6816534,0,15.3,PM J00021-6816E
A,I00033+0441,S,263,,,,00 03 19.0,+04 41 12,0.0342,0.0032,VL07,-26,-86,12.13,HIPPA,13.59,0.06,12.11,0.05,12.82,0.01,11.44,0.07,10.47,0.08,8.833,0.029,8.183,0.018,7.976,0.024,M1,0.7,0.006,0.626,0.002,0.825,0.003,-6.43,0.19,1.016,0.092,1.051,0.038,-0.41,0.08,-0.13,0.12,3745,99,PHX,,0.51,0.05,,0.044,0.012,,0.54,0.07,00031900+0441128,0,29.2,PM J00033+0441
A,I00046-4044,,,,,,00 04 36.5,-40 44 02,0.0769,0.004,He06,626,-1532,12.85,APASS,14.47,0.02,12.85,0.06,13.58,0.02,12.2,0.05,10.74,0.05,8.601,0.021,8.043,0.031,7.737,0.04,M4,0.507,0.017,0.456,0.003,0.721,0.004,,0.08,1.829,0.256,1.59,0.137,2.25,,,,3351,96,PHX,,0.28,0.08,,0.01,0.006,,0.26,0.1,00043643-4044020,0,13.0,PM J00046-4044
A,I00051+4547,,428,3246,1142,1,00 05 10.9,+45 47 11,0.0889,0.0014,VL07,870,-150,10.0,HIPPA,11.43,0.02,10.2,0.12,10.69,,9.64,,8.55,,6.704,0.021,6.098,0.024,5.853,0.018,M3,0.703,0.017,0.576,0.008,0.824,0.01,-8.11,0.28,0.966,0.418,1.093,0.055,-0.32,0.08,,,3728,66,PHX,,0.5,0.04,,0.042,0.008,,0.53,0.06,00051079+4547116,0,11.3,PM J00051+4547
A,I00054-3721,,439,6995,1264,1,00 05 24.4,-37 21 26,0.2304,9.0E-4,VL07,5635,-2338,8.62,HIPPA,9.99,0.02,9.53,0.14,9.7,0.03,9.0,0.04,7.55,0.02,5.328,0.019,4.828,0.076,4.523,0.017,M2,0.645,0.015,0.586,0.002,0.819,0.003,-6.0,0.1,0.4,0.107,0.596,0.063,-0.23,0.09,,,3589,88,PHX,,0.44,0.05,,0.028,0.008,,0.46,0.07,00052423-3721257,0,4.3,PM J00054-3721
B,I00054-5002,,,8028,604,1,00 05 25.0,-50 02 53,,,,-155,-9,12.05,APASS,13.51,0.03,12.05,0.03,12.72,0.02,11.4,0.03,10.38,0.08,8.553,0.021,7.908,0.038,7.627,0.023,M2,0.68,0.021,0.583,0.004,0.802,0.005,,0.1,0.692,0.23,0.798,0.096,2.09,,,,3571,87,PHX,,0.43,0.05,,0.026,0.008,,0.44,0.07,00052498-5002529,0,,PM J00054-5002
