_RAJ2000,_DEJ2000,recno,SDSS,r*mag,u_r*mag,n_r*mag,i*mag,u_i*mag,n_i*mag,z*mag,Jmag,n_Jmag,Hmag,n_Hmag,Ksmag,n_Ksmag,SpType,n_SpType,SpType2,n_SpType2,SpType3,n_SpType3,Source,n_Source,SDSSdata,RAJ2000,DEJ2000
5.5387917,-1.1778333,1,J0022-0110,22.69,,,19.77,,,17.88,15.83,,15.1,,14.63,,M9,,,,,,EDR,,SDSSdata,00 22 09.31,-01 10 40.2
35.991375,0.1062222,2,J0223+0006,23.16,,b,20.49,,,18.72,16.56,,16.01,,15.57,,M9,,,,,,EDR,,SDSSdata,02 23 57.93,+00 06 22.4
36.9788333,0.4388889,3,J0227+0026,23.73,:,b,20.55,,,18.81,,,,,,,M9,,,,,,EDR,,SDSSdata,02 27 54.92,+00 26 20.0
37.0652083,0.6740556,4,J0228+0040,23.42,,b,20.84,,,19.3,,,,,,,M9,,,,,,EDR,,SDSSdata,02 28 15.65,+00 40 26.6
37.68525,-0.2164722,5,J0230-0012,24.27,:,b,20.64,,,19.18,16.99,,16.44,,15.19,,M9,,,,,,EDR,,SDSSdata,02 30 44.46,-00 12 59.3
38.2960833,-0.3918611,6,J0233-0023,22.72,,,20.26,,,18.84,,,,,,,M9,,,,,,EDR,c,SDSSdata,02 33 11.06,-00 23 30.7
42.4931667,-0.5694444,7,J0249-0034,22.16,,,19.38,,,17.64,15.46,,14.8,,14.28,,M9,,,,,,EDR,,SDSSdata,02 49 58.36,-00 34 10.0
47.47275,-7.8875833,8,J0309-0753,23.36,,b,21.2,,,18.6,16.5,,15.68,,15.4,,M9,,,,,,APO,,SDSSdata,03 09 53.46,-07 53 15.3
70.9066667,0.0347778,9,J0443+0002,19.74,,,16.93,,,15.03,12.52,,11.8,,11.17,,M9,,,,,,APO,,SDSSdata,04 43 37.60,+00 02 05.2
162.5520417,0.9675833,10,J1050+0058,23.71,:,b,20.47,,,18.57,,,,,,,M9,,,,,,EDR,,SDSSdata,10 50 12.49,+00 58 03.3
173.7287083,0.3818056,11,J1134+0022,19.57,,,16.82,,,15.05,,,,,,,M9,,,,,,APO,,SDSSdata,11 34 54.89,+00 22 54.5
205.618375,-0.4515833,12,J1342-0027,22.26,,,19.76,,,17.93,15.59,,14.92,,14.32,,M9,,,,,,EDR,,SDSSdata,13 42 28.41,-00 27 05.7
