_RAJ2000,_DEJ2000,recno,Name,f_Name,SpType,f_SpType,JMAG,i-z,zmag,z-J,Z-J,Jmag,J-K,J-H,H-K,J-K,_RA,_DE
116.677333,20.008917,5,2MASS J07464256+2000321AB,,L1,,11.21,1.8,14.3,2.66,1.47,11.64,1.21,0.63,0.58,1.21,116.6773,20.0089
219.868167,19.487472,6,2MASS J14392836+1929149,,L1,c,11.87,,,,,12.66,1.19,0.61,0.58,1.19,219.8682,19.4875
220.0675,0.444139,7,SDSS J144016.20+002638.9,,L1,d,,1.9,18.75,2.82,,15.93,1.29,0.7,0.59,1.29,220.0675,0.4441
182.508167,3.127556,8,SDSS J121001.96+030739.2,,L1.5{+/-}1,,,,19.79,2.52,,17.27,1.24,0.69,0.55,1.24,182.5082,3.1276
56.429833,25.673139,4,2MASS J03454316+2540233,b,L1{+/-}1,,11.69,,,,,13.84,1.18,0.63,0.54,1.1700001,56.4298,25.6731
218.89875,-0.729722,11,SDSS J143535.70-004347.0,,L2.5,,12.44,1.84,19.02,2.61,,16.41,1.29,0.73,0.56,1.29,218.8987,-0.7297
58.703042,-0.461694,9,SDSS J035448.73-002742.1,,L2{+/-}1,,,2.02,19.61,2.47,,17.14,1.19,0.68,0.51,1.19,58.703,-0.4617
151.005875,0.898583,10,SDSS J100401.41+005354.9,,L2{+/-}1,,,2.05,19.76,2.36,,17.4,1.16,0.58,0.58,1.16,151.0059,0.8986
7.164292,15.028278,12,2MASS J00283943+1501418,e,L3,d,,2.19,19.52,3.03,2.01,16.49,1.95,1.01,0.94,1.95,7.1643,15.0283
164.699458,-15.804778,13,DENIS-P J1058.7-1548,"b,f",L3,,12.93,,,,1.64,14.12,1.57,0.84,0.74,1.5799999,164.6995,-15.8048
336.182542,-1.981139,17,2MASS J22244381-0158521,,L3.5,,13.59,,,,,13.89,1.91,1.05,0.86,1.91,336.1825,-1.9811
118.813583,29.579278,18,SDSS J075515.26+293445.4,,L3.5{+/-}1,,,2.33,19.4,2.69,,16.71,1.39,0.77,0.62,1.39,118.8136,29.5793
198.564667,-0.146694,19,SDSS J131415.52-000848.1,,L3.5{+/-}1.5,,,2.0,19.63,3.11,,16.52,1.22,0.68,0.55,1.23,198.5647,-0.1467
196.417417,-25.685,15,Kelu-1,"b,h",L3{+/-}1,,11.88,,,,1.77,13.23,1.45,0.78,0.67,1.45,196.4174,-25.685
31.898333,13.932306,16,SDSS J020735.60+135556.3,,L3{+/-}1.5,,,1.78,18.06,2.79,,15.27,1.46,0.82,0.64,1.46,31.8983,13.9323
216.162875,9.286222,14,GD 165B,"b,g",L3{+/-}2,,13.14,,,,,15.64,1.55,0.89,0.66,1.55,216.1629,9.2862
1.145208,-40.734972,23,LHS 102B,i,L4.5,,13.16,,,,1.61,13.06,1.7,0.92,0.78,1.7,1.1452,-40.735
218.048917,-0.983556,24,SDSS J143211.74-005900.8,,L4.5,,,,19.62,2.63,,16.99,1.54,0.85,0.69,1.54,218.0489,-0.9836
9.067375,18.352889,20,2MASS J00361617+1821104,,L4{+/-}1,,12.61,,,,1.81,12.3,1.26,0.66,0.6,1.26,9.0674,18.3529
0.30075,15.593194,21,SDSS J000112.18+153535.5,,L4{+/-}1,,,1.74,18.55,3.26,,15.29,1.77,0.89,0.88,1.77,0.3007,15.5932
60.254,-6.159167,22,SDSS J040100.96-060933.0,,L4{+/-}1.5,,,,20.19,2.81,,17.38,1.67,0.99,0.68,1.6700001,60.254,-6.1592
84.966625,-0.983889,25,SDSS J053951.99-005902.0,,L5,,13.26,2.24,16.78,2.93,1.75,13.85,1.45,0.81,0.64,1.45,84.9666,-0.9839
194.40525,-1.226694,26,SDSS J125737.26-011336.1,,L5,,13.86,2.14,18.56,2.92,,15.64,1.58,0.96,0.62,1.5799999,194.4052,-1.2267
221.5025,0.414444,27,SDSS J144600.60+002452.0,,L5,,13.85,2.3,18.48,2.92,,15.56,1.76,0.97,0.79,1.76,221.5025,0.4144
226.948708,-16.460722,32,2MASS J15074769-1627386,,L5.5,,13.37,,,,,12.7,1.41,0.8,0.61,1.4100001,226.9487,-16.4607
