PM,HIP,TYC1,TYC2,TYC3,CNS3,RA_ICRS,DE_ICRS,pmt,pmRA,pmDE,plx,e_plx,r_plx,Xray,NUVmag,FUVmag,BTmag,VTmag,Bmag,Rmag,Imag,Jmag,Hmag,Kmag,Vmag,V-J,pplx,e_pplx,psp,SpTnum,SimbadName
I00006+1829,,1181,1683,1,,0.163528,18.48885,0.387,0.335,0.195,,,PHD,,,20.04,12.91,11.28,11.9,10.3,9.5,8.44,7.79,7.64,11.28,2.84,0.0307,0.0092,k7,-1,PM J00006+1829
I00012+1358S,,600,1507,2,,0.303578,13.972055,0.147,0.025,0.144,,,PHD,,,19.85,13.67,11.12,,,,8.36,7.71,7.53,11.12,2.76,0.0306,0.0092,k7,-1,PM J00012+1358S
I00014-1656,112,5838,784,1,GJ 1293,0.357633,-16.94841,0.393,0.299,-0.255,0.0311,0.0022,VL07,,,,12.14,10.76,11.5,9.8,8.9,8.02,7.41,7.22,10.76,2.74,0.0354,0.0106,k7,-1,PM J00014-1656
I00016-3258,,,,,,0.408577,-32.978249,0.238,0.238,0.005,,,PHD,,,21.43,,,13.4,11.6,10.7,9.77,9.14,8.94,12.57,2.8,0.0163,0.0049,k7,-1,PM J00016-3258
I00034-2429W,,,,,,0.856519,-24.48608,0.269,0.254,-0.09,,,PHD,,,21.75,,,13.5,11.3,10.5,9.69,9.02,8.82,12.49,2.8,0.0169,0.0051,k7,-1,PM J00034-2429W
I00057-0806,,5260,202,1,,1.445564,-8.107073,0.072,0.008,-0.071,,,,,,21.05,13.12,12.44,,,,9.64,8.94,8.77,12.44,2.8,0.0173,0.0052,k7,-1,PM J00057-0806
I00076+4119,,,,,,1.922462,41.33189,0.135,-0.124,-0.053,,,,,,21.04,,,13.5,11.2,10.3,9.68,8.98,8.81,12.44,2.76,0.0167,0.005,k7,-1,PM J00076+4119
I00125+2142En,1006,1185,45,1,,3.139604,21.713478,0.346,0.189,-0.29,0.0358,0.0028,VL07,,,,13.15,11.67,12.7,11.0,10.2,8.84,8.28,8.04,11.67,2.83,0.0254,0.0076,k7,-1,PM J00125+2142En
I00136+5245,,,,,,3.410114,52.751385,0.06,0.059,-0.012,,,,,,,,,13.3,11.2,10.2,9.52,8.76,8.66,12.33,2.81,0.0184,0.0055,k7,-1,PM J00136+5245
I00141-7615,,9346,1187,1,,3.538492,-76.258698,0.044,0.043,0.006,,,,,,20.14,11.62,9.88,,,,7.16,6.48,6.27,9.88,2.72,0.0521,0.0156,k7,-1,PM J00141-7615
I00146-1713,,,,,,3.651672,-17.223194,0.07,-0.063,-0.029,,,,,,,,,13.8,11.4,,9.92,9.25,9.1,12.7,2.78,0.0151,0.0045,k7,-1,PM J00146-1713
I00172+1935,,,,,,4.323807,19.586342,0.091,0.022,-0.088,,,,,,20.53,,,12.9,10.8,,9.08,8.43,8.28,11.93,2.85,0.023,0.0069,k7,-1,PM J00172+1935
I00204+5428,,,,,,5.117024,54.483273,0.196,0.196,-0.009,,,,,,,,,13.0,11.6,10.9,9.56,9.0,8.82,12.36,2.8,0.018,0.0054,k7,-1,PM J00204+5428
I00239-0506,,,,,,5.99096,-5.116243,0.075,-0.006,-0.074,,,,,,21.21,,,13.6,11.8,,9.96,9.31,9.13,12.77,2.81,0.015,0.0045,k7,-1,PM J00239-0506
I00245+4733,,,,,,6.126657,47.556332,0.108,-0.108,0.011,,,,,,21.48,,,,11.4,10.2,9.63,9.05,8.81,12.36,2.73,0.0168,0.005,k7,-1,PM J00245+4733
I00252-3242,,6994,23,1,,6.321915,-32.707558,0.154,0.149,-0.039,,,,0.0283,,19.32,13.26,11.23,,,,8.41,7.78,7.57,11.23,2.82,0.0308,0.0092,k7,-1,PM J00252-3242
I00268+6052,,,,,,6.702989,60.875412,0.26,0.258,-0.032,,,,,,,,,13.2,11.0,10.4,9.39,8.73,8.59,12.19,2.8,0.0194,0.0058,k7,-1,PM J00268+6052
I00282+1929,,,,,,7.054807,19.493664,0.209,0.199,-0.062,,,,,,21.02,,,13.4,11.5,10.2,9.69,9.04,8.86,12.53,2.84,0.0173,0.0052,k7,-1,PM J00282+1929
I00291+4435,,2795,2193,1,,7.280741,44.589321,0.082,0.081,-0.011,,,,,,,13.02,11.95,,,,9.15,8.55,8.39,11.95,2.8,0.0217,0.0065,k7,-1,PM J00291+4435
I00298+3630N,,,,,,7.457258,36.503208,0.192,0.158,-0.108,,,,,,21.17,,,13.1,11.2,10.2,9.51,8.9,8.73,12.23,2.72,0.0177,0.0053,k7,-1,PM J00298+3630N
I00304+0420,2391,,,,,7.621941,4.339021,0.075,0.074,-0.009,0.0213,0.0055,VL07,0.0461,22.63,20.44,0.0,12.37,,,,9.53,8.93,8.66,12.37,2.84,0.0186,0.0056,k7,-1,PM J00304+0420
