PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I00006+1829,,0.163528,18.48885,0.335,0.195,,,,20.04,11.28,T,8.44,7.79,7.64,MDM,4791.75,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J00006+1829
I00012+1358S,,0.303578,13.972055,0.025,0.144,,,,19.85,11.12,T,8.36,7.71,7.53,UH22,5791.05,0.706,0.864,0.788,0.967,0.944,0.97,0.14,M0.0,1.08,5.0,3790,,,,,0.03,0.008,0.028,0.008,-13.9,12.1,,0.41,,,,0,2M,PM J00012+1358S
I00033+0441,,0.829182,4.68694,-0.024,-0.085,,,,21.18,12.04,T,8.83,8.18,7.98,UH22,5791.05,0.58,0.797,0.679,0.959,0.888,0.939,1.38,M1.5,0.93,4.5,3510,,,0.0342,0.0032,0.031,0.008,0.03,0.009,8.5,-6.8,,0.39,,,,0,2M,PM J00033+0441
I00051+4547,Gl  2,1.295195,45.786587,0.87,-0.151,,,,,9.95,T,6.7,6.1,5.85,MDM,5095.8,0.603,0.824,0.664,0.956,0.911,1.014,1.1,M1.0,1.1,4.5,3560,P,,0.0889,0.0014,0.078,0.021,0.083,0.024,-38.2,,-15.9,0.47,,,,1,2M,PM J00051+4547
I00051+7406,,1.275512,74.105217,0.035,-0.023,,,,,10.63,T,7.75,7.15,6.97,MDM,5812.87,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00051+7406
I00077+6022,,1.927582,60.38176,0.34,-0.027,0.17,-0.41,,,14.26,P,8.91,8.33,8.05,MDM,5838.82,0.364,0.62,0.392,0.905,0.63,0.798,4.6,M4.5,0.9,5.0,3140,,,,,0.078,0.031,0.091,0.027,-15.1,,-4.4,-3.11,Y,,,1,2M,PM J00077+6022
I00078+6736,,1.961682,67.607124,-0.045,-0.091,,,,,12.18,P,8.35,7.72,7.51,MDM,5099.83,0.534,0.789,0.623,0.905,0.806,0.929,2.03,M2.0,0.96,5.0,3500,,,,,0.046,0.012,0.055,0.016,5.1,,-8.5,0.39,,,,0,2M,PM J00078+6736
I00081+4757,,2.026727,47.950695,-0.119,0.003,0.219,-0.27,19.68,18.91,12.7,P,8.52,8.0,7.68,MDM,5098.84,0.41,0.7,0.42,0.871,0.684,0.814,3.8,M4.0,1.01,5.0,3280,,,,,0.071,0.028,0.061,0.018,7.9,,1.8,-2.93,Y,,Y,0,2M,PM J00081+4757
I00084+1725,GJ 3008,2.113679,17.424309,-0.093,-0.064,,,,19.24,10.73,T,7.81,7.16,6.98,UH22,5791.06,0.671,0.842,0.785,0.97,0.947,0.97,0.34,M0.5,0.91,4.5,3600,P,,0.046,0.0019,0.04,0.011,0.04,0.012,11.2,0.7,,0.41,,,,0,2M,PM J00084+1725
I00088+2050,GJ 3010,2.224675,20.840403,-0.065,-0.247,0.0899,-0.28,21.07,16.71,13.9,P,8.87,8.26,8.01,MDM,4413.72,0.372,0.646,0.356,0.893,0.602,0.793,4.58,M4.5,0.99,5.0,3130,P,,,,0.078,0.031,0.08,0.024,9.5,,-10.1,-4.64,Y,,Y,1,2M,PM J00088+2050
I00110+0512,,2.769255,5.208822,0.241,0.061,,,22.85,20.58,11.55,T,8.53,7.88,7.69,UH22,5050.03,0.653,0.839,0.706,0.962,0.893,0.925,0.86,M1.0,1.16,4.5,3660,,,0.0233,0.0038,0.032,0.009,0.031,0.009,-48.5,-14.3,,0.35,,,,1,2M,PM J00110+0512
I00113+5837,,2.841032,58.617561,0.056,0.029,,,,,11.21,T,8.02,7.31,7.13,MDM,5811.9,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00113+5837
I00118+2259,,2.970996,22.984573,0.142,-0.221,0.411,0.28,,22.37,13.09,P,8.86,8.31,7.99,UH22,5050.03,0.439,0.729,0.424,0.923,0.694,0.798,3.5,M3.5,1.1,4.5,3260,,M,,,0.055,0.022,0.054,0.016,-3.0,,-16.7,0.3,,Y,,1,2M,PM J00118+2259
I00125+2142En,,3.139604,21.713478,0.189,-0.29,,,,,11.67,T,8.84,8.28,8.04,UH22,5791.06,0.721,0.865,0.851,0.973,0.967,0.988,-0.18,M0.0,0.8,4.5,3690,,,0.0358,0.0028,0.023,0.006,0.024,0.007,-5.9,,-32.5,0.44,,,,1,2M,PM J00125+2142En
