recno,ori,Name,CNS3,RAJ2000,DEJ2000,Fbol,e_Fbol,Teff,e_Teff,R,e_R,M,e_M,[Fe/H],e_[Fe/H],SpT,SpTnum,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Fbol0,e_Fbol0,Teff0,e_Teff0,R0,e_R0,M0,e_M0,Age0,e_Age0,chi2,SimbadName
161,0,LSPM J2106+3844S,Gl 820B,316.73013,38.74202,22.25,0.19,4021,74,0.602,0.023,0.641,0.064,-0.22,0.08,K7.3,-1.0,7.445,0.02,6.066,0.016,5.219,0.012,4.434,0.02,6.84,0.02,5.508,0.011,4.981,0.012,4.689,0.013,3.533,0.017,2.939,0.017,2.777,0.02,5.705,0.014,6.458,0.014,4.608,0.014,22.25,0.3,4126,36,0.574,0.01,0.6,0.014,9.43,0.52,3.81,LSPM J2106+3844S
127,0,LSPM J1725+0206,Gl 673,261.43847,2.11142,5.927,0.045,4124,60,0.649,0.02,0.706,0.071,0.19,0.08,K7.4,-1.0,8.906,0.02,7.51,0.016,6.68,0.012,5.913,0.02,8.306,0.02,6.956,0.011,6.456,0.012,6.158,0.013,4.961,0.017,4.315,0.017,4.183,0.02,7.167,0.014,7.907,0.014,6.082,0.014,5.927,0.063,4170,36,0.636,0.01,0.678,0.014,9.46,0.49,1.139,LSPM J1725+0206
173,0,PM I23099+1425W,,347.47873,14.42639,0.5017,0.0052,4013,62,0.643,0.022,0.68,0.068,-0.05,0.08,K7.4,-1.0,11.623,0.02,10.239,0.016,9.374,0.013,8.588,0.02,11.001,0.021,9.664,0.011,9.134,0.012,8.826,0.013,7.653,0.017,7.019,0.017,6.845,0.02,9.861,0.014,10.624,0.014,8.756,0.014,0.5017,0.008,4148,43,0.602,0.012,0.637,0.016,9.45,0.5,8.521,LSPM J2309+1425
77,0,PM I10113+4927,Gl 380,152.84254,49.45431,14.95,0.12,4131,60,0.651,0.019,0.707,0.071,0.24,0.08,K7.6,0.0,7.939,0.02,6.538,0.015,5.684,0.012,4.883,0.02,7.325,0.02,5.975,0.011,5.436,0.013,5.123,0.013,3.981,0.017,3.325,0.017,3.187,0.02,6.167,0.014,6.932,0.014,5.059,0.014,14.95,0.17,4162,33,0.642,0.01,0.687,0.013,9.43,0.49,0.631,Gl 380
9,0,PM I01186-0052S,Gl 56.3 B,19.6675,-0.87432,0.3579,0.0042,3935,64,0.604,0.026,0.645,0.064,0.01,0.08,K7.7,0.0,12.065,0.021,10.699,0.016,9.8,0.013,8.942,0.02,11.455,0.021,10.11,0.011,9.51,0.013,9.16,0.013,8.032,0.017,7.385,0.017,7.156,0.02,10.271,0.014,11.076,0.014,9.126,0.014,0.3579,0.0065,4012,51,0.579,0.015,0.611,0.018,9.53,0.53,2.593,Gl 56.3 B
37,0,PM I04290+2155,Gl 169,67.25041,21.9225,3.028,0.032,4124,62,0.687,0.023,0.744,0.074,0.39,0.08,K7.7,0.0,9.68,0.02,8.335,0.016,7.462,0.013,6.631,0.02,9.07,0.02,7.762,0.011,7.187,0.012,6.871,0.013,5.698,0.017,5.044,0.017,4.853,0.02,7.934,0.014,8.711,0.014,6.812,0.014,3.028,0.057,4197,40,0.661,0.011,0.711,0.014,9.46,0.49,2.899,Gl 169
38,0,PM I04376+5253,Gl 172,69.42048,52.89368,2.48,0.021,3929,60,0.608,0.02,0.651,0.065,-0.11,0.08,K7.7,0.0,10.028,0.02,8.627,0.016,7.73,0.012,6.881,0.02,9.395,0.02,8.037,0.011,7.444,0.012,7.119,0.013,5.908,0.017,5.214,0.017,5.031,0.02,8.207,0.014,9.01,0.014,7.066,0.014,2.48,0.034,4054,38,0.571,0.011,0.602,0.016,9.45,0.51,7.993,Gl 172
105,0,PM I13450+1747,Gl 525,206.2711,17.78569,0.86,0.011,3828,60,0.494,0.017,0.526,0.053,-0.54,0.08,K7.7,0.0,11.194,0.02,9.81,0.016,8.902,0.012,8.026,0.02,10.586,0.021,9.216,0.011,8.603,0.013,8.226,0.013,7.02,0.017,6.426,0.017,6.209,0.02,9.369,0.014,10.189,0.014,8.208,0.014,0.86,0.02,3896,37,0.476,0.015,0.5,0.014,9.45,0.53,4.02,Gl 525
71,0,PM I09143+5241,Gl 338A,138.595,52.68639,6.087,0.057,3920,60,0.55,0.026,0.607,0.061,-0.01,0.08,K7.8,0.0,9.054,0.02,7.645,0.016,6.756,0.012,5.896,0.02,8.419,0.02,7.066,0.011,6.46,0.013,6.13,0.013,4.928,0.017,4.253,0.017,4.032,0.02,7.228,0.014,8.035,0.014,6.083,0.014,6.087,0.085,3930,52,0.548,0.018,0.58,0.019,9.41,0.55,0.155,Gl 338A
45,0,PM I05365+1119,Gl 208,84.12914,11.32787,2.04,0.02,3966,60,0.601,0.02,0.646,0.065,0.05,0.08,K7.9,0.0,10.264,0.02,8.865,0.016,7.962,0.012,7.087,0.02,9.632,0.021,8.276,0.011,7.656,0.012,7.309,0.013,6.103,0.017,5.423,0.017,5.285,0.02,8.43,0.014,9.248,0.014,7.275,0.014,2.04,0.029,4020,41,0.585,0.012,0.62,0.015,9.43,0.52,1.536,Gl 208
