_RAJ2000,_DEJ2000,recno,Name,f_Name,Teff,e_Teff,R,e_R,logL,e_logL,Te.i,e_Te.i,R.i,e_R.i,logL.i,e_logL.i,B12,Simbad,_RA,_DE
280.6956939,59.6267631,1,GJ 725B,f,3142,29,0.3232,0.0061,-2.0329,0.0052,3295,81,0.281,0.03,-2.02,0.06,1,Simbad,280.69569,59.62676
343.3197231,-14.2636997,2,GJ 876,g,3176,20,0.3761,0.0059,-1.8893,0.0027,3281,105,0.346,0.037,-1.94,0.08,0,Simbad,343.31972,-14.2637
269.452075,4.6933908,3,GJ 699,,3238,11,0.1869,0.0012,-2.466,0.0038,3248,81,0.188,0.029,-2.44,0.06,1,Simbad,269.45207,4.69339
280.6944972,59.6304089,4,GJ 725A,,3417,17,0.3561,0.0039,-1.8033,0.0052,3375,81,0.352,0.03,-1.82,0.05,1,Simbad,280.6945,59.63041
264.1079156,68.3391419,5,GJ 687,,3457,35,0.4183,0.007,-1.6521,0.0086,3483,80,0.413,0.028,-1.62,0.05,1,Simbad,264.10792,68.33914
229.8617625,-7.7222806,6,GJ 581,,3487,62,0.299,0.01,-1.9278,0.0077,3354,74,0.329,0.027,-1.86,0.05,1,Simbad,229.86176,-7.72228
175.546225,26.7065694,7,GJ 436,,3520,66,0.4546,0.0182,-1.5476,0.011,3477,81,0.4,0.028,-1.59,0.05,1,Simbad,175.54622,26.70657
165.8341417,35.96988,8,GJ 411,,3532,17,0.3924,0.0033,-1.6708,0.0061,3532,85,0.401,0.029,-1.58,0.05,1,Simbad,165.83414,35.96988
166.369075,43.5267753,9,GJ 412A,,3537,41,0.3982,0.0091,-1.6548,0.0047,3664,227,0.425,0.041,-1.61,0.12,1,Simbad,166.36907,43.52678
4.5953556,44.0229522,10,GJ 15A,,3602,13,0.3863,0.0021,-1.6467,0.0052,3534,79,0.388,0.028,-1.6,0.05,1,Simbad,4.59536,44.02295
254.5368767,25.7441636,11,GJ 649,g,3604,46,0.5387,0.0157,-1.3586,0.0023,3683,79,0.497,0.028,-1.37,0.06,0,Simbad,254.53688,25.74416
206.4324028,14.8915175,12,GJ 526,,3646,34,0.484,0.0084,-1.4325,0.006,3716,125,0.45,0.033,-1.5,0.11,1,Simbad,206.4324,14.89152
346.4668169,-35.8530689,13,GJ 887,,3695,35,0.4712,0.0086,-1.4325,0.0088,3698,86,0.478,0.028,-1.37,0.05,1,Simbad,346.46682,-35.85307
70.7323958,18.9581678,14,GJ 176,g,3701,90,0.4525,0.0221,-1.4746,0.0034,3574,78,0.514,0.029,-1.44,0.06,0,Simbad,70.7324,18.95817
344.1450197,16.5534317,15,GJ 880,,3731,16,0.5477,0.0048,-1.2856,0.0049,3749,76,0.555,0.028,-1.3,0.06,1,Simbad,344.14502,16.55343
313.3324606,62.1543897,16,GJ 809,,3744,27,0.5472,0.0067,-1.2798,0.0057,3758,82,0.522,0.028,-1.29,0.06,1,Simbad,313.33246,62.15439
82.8641497,-3.6772308,17,GJ 205,,3850,22,0.5735,0.0044,-1.1905,0.0094,3872,75,0.597,0.027,-1.19,0.06,1,Simbad,82.86415,-3.67723
138.6028989,52.6864147,18,GJ 338B,,3926,37,0.5673,0.0137,-1.1627,0.0145,3892,92,0.562,0.028,-1.15,0.13,1,Simbad,138.6029,52.68641
138.5949647,52.6865892,19,GJ 338A,,3953,41,0.5773,0.0131,-1.1357,0.0164,3955,106,0.571,0.029,-1.09,0.1,1,Simbad,138.59496,52.68659
316.7302664,38.7420564,20,GJ 820B,,4025,24,0.601,0.0072,-1.0722,0.0064,4047,97,0.591,0.028,-1.1,0.07,1,Simbad,316.73027,38.74206
152.8422522,49.4542381,21,GJ 380,,4176,19,0.6398,0.0046,-0.9518,0.0065,4168,107,0.634,0.036,-0.94,0.13,1,Simbad,152.84225,49.45424
271.3642542,2.4990056,22,GJ 702B,,4475,33,0.6697,0.0089,-0.7972,0.0108,4360,102,0.635,0.03,-0.66,0.07,1,Simbad,271.36425,2.49901
224.3666728,-21.4154758,23,GJ 570A,,4588,58,0.739,0.019,-0.6654,0.0064,4623,85,0.708,0.031,-0.63,0.05,1,Simbad,224.36667,-21.41548
39.0203944,6.8868742,24,GJ 105A,,4704,21,0.7949,0.0062,-0.5589,0.0056,4825,202,0.811,0.061,-0.59,0.06,1,Simbad,39.02039,6.88687
348.3207347,57.1683561,25,GJ 892,,4773,20,0.7784,0.0053,-0.5521,0.006,4673,106,0.773,0.036,-0.61,0.05,1,Simbad,348.32073,57.16836
