_RAJ2000,_DEJ2000,recno,Name,m_Name,Mg1.48,e_Mg1.48,Mg1.50,e_Mg1.50,Mg1.58,e_Mg1.58,Al-a,e_Al-a,Al-b,e_Al-b,Mg1.71,e_Mg1.71,K,Teff,e_Teff,R,e_R,logL,e_logL,plx,e_plx,r_plx,[Fe/H]1,[Fe/H]2,Simbad,_RA,_DE
0.3157917,6.9932222,1,LSPM J0001+0659,,0.8,0.05,0.59,0.11,-0.1,0.16,0.48,0.08,0.86,0.14,0.4,0.13,0.94,2822,100,-0.122,0.072,-3.03,0.11,57.1,2.6,D14,-0.05,-0.08,Simbad,0.31579,6.99322
1.9962083,8.0053056,2,LSPM J0007+0800,,0.73,0.1,2.1,0.12,1.56,0.12,1.05,0.05,1.1,0.09,1.67,0.12,1.03,3459,105,0.295,0.032,-2.04,0.06,44.0,6.3,N14,-0.71,-0.72,Simbad,1.99621,8.00531
2.2246625,20.8403472,3,LSPM J0008+2050,,0.19,0.05,1.36,0.05,0.66,0.09,0.84,0.04,1.09,0.07,1.03,0.1,0.95,3147,82,0.14,0.032,-2.46,0.07,67.5,2.7,D14,0.02,0.12,Simbad,2.22466,20.84035
3.8283333,43.7429722,4,LSPM J0015+4344,,0.97,0.09,2.05,0.13,1.27,0.15,1.07,0.07,1.32,0.08,1.33,0.13,0.95,3328,93,0.255,0.034,-2.15,0.08,35.1,1.5,D14,0.22,0.36,Simbad,3.82833,43.74297
3.955,13.5560833,5,LSPM J0015+1333,,0.59,0.05,1.58,0.07,0.92,0.11,0.94,0.06,1.19,0.07,1.34,0.09,1.02,3201,83,0.194,0.033,-2.27,0.06,99.8,4.0,D14,-0.22,-0.24,Simbad,3.955,13.55608
4.2345417,5.1239167,6,LSPM J0016+0507,,0.6,0.13,1.72,0.15,1.38,0.12,0.91,0.07,1.07,0.13,1.42,0.13,0.98,3305,121,0.271,0.034,-2.21,0.08,56.9,3.7,N14,-0.22,-0.11,Simbad,4.23454,5.12392
4.2365833,20.0653056,7,LSPM J0016+2003,,0.89,0.04,2.44,0.05,1.16,0.06,1.37,0.03,1.85,0.06,1.85,0.05,1.03,3318,76,0.274,0.028,-1.91,0.05,,,,0.01,0.15,Simbad,4.23658,20.06531
4.6062417,44.0271222,8,LSPM J0018+4401E,,1.21,0.09,2.0,0.1,0.94,0.14,0.75,0.07,0.95,0.13,0.96,0.14,0.98,,,0.196,0.042,-2.32,0.09,279.3,5.4,D14,-0.19,-0.26,Simbad,4.60624,44.02712
4.7230417,27.8138889,9,LSPM J0018+2748,,0.67,0.07,1.97,0.13,1.2,0.1,1.2,0.07,1.6,0.11,1.52,0.1,1.0,3233,87,0.255,0.03,-2.11,0.07,69.2,5.2,D14,0.05,0.14,Simbad,4.72304,27.81389
6.0157083,26.4416667,10,LSPM J0024+2626,,0.73,0.07,1.99,0.09,1.16,0.14,1.07,0.09,1.64,0.09,1.17,0.08,0.99,3194,83,0.24,0.033,-2.23,0.06,45.3,2.8,D14,0.38,0.29,Simbad,6.01571,26.44167
6.1449167,30.0415278,11,LSPM J0024+3002,,0.6,0.11,1.77,0.14,0.92,0.12,1.25,0.12,1.66,0.12,1.07,0.12,0.97,3184,92,0.23,0.035,-2.34,0.08,45.9,2.3,D14,0.11,0.26,Simbad,6.14492,30.04153
7.2246667,50.3758333,12,LSPM J0028+5022,,0.67,0.09,1.95,0.11,1.29,0.14,1.24,0.07,1.72,0.09,1.27,0.1,1.02,3210,82,0.271,0.032,-2.2,0.07,57.2,2.2,D14,0.01,0.1,Simbad,7.22467,50.37583
