_RAJ2000,_DEJ2000,KOI,KIC,Np,Te.H,R.H,r_R.H,Teff,e_Teff,R,e_R,logL,e_logL,Rp.l,Tp.l,Rp,Tp,H14,Simbad,_RA,_DE
284.9985875,50.1467889,247.01,11852982,1,3741,0.49,SPE5,3850,75,0.556,0.027,-1.18,0.06,1.85,507,2.1,522,H14,Simbad,284.99859,50.14679
284.9409958,46.5665389,250.01,9757613,4,3887,0.53,SPE5,3899,100,0.572,0.028,-1.1,0.14,2.83,453,3.05,455,H14,Simbad,284.941,46.56654
284.9409958,46.5665389,250.02,9757613,4,3887,0.53,SPE5,3899,100,0.572,0.028,-1.1,0.14,2.7,405,2.91,406,H14,Simbad,284.941,46.56654
284.9409958,46.5665389,250.03,9757613,4,3887,0.53,SPE5,3899,100,0.572,0.028,-1.1,0.14,1.04,686,1.12,688,H14,Simbad,284.941,46.56654
284.9409958,46.5665389,250.04,9757613,4,3887,0.53,SPE5,3899,100,0.572,0.028,-1.1,0.14,2.73,290,2.94,291,H14,Simbad,284.941,46.56654
298.258125,47.6049472,251.01,10489206,2,3810,0.52,SPE5,3827,84,0.542,0.029,-1.2,0.07,2.61,665,2.72,668,H14,Simbad,298.25812,47.60495
298.258125,47.6049472,251.02,10489206,2,3810,0.52,SPE5,3827,84,0.542,0.029,-1.2,0.07,0.83,595,0.86,598,H14,Simbad,298.25812,47.60495
292.8728958,41.0642694,254.01,5794240,1,3820,0.55,SPE43,3867,82,0.578,0.028,-0.97,0.1,10.23,691,10.71,700,H14,Simbad,292.8729,41.06427
287.8581208,42.5426278,255.01,7021681,2,3770,0.51,SPE5,4027,81,0.616,0.027,-1.01,0.12,2.46,334,2.98,357,H14,Simbad,287.85812,42.54263
287.8581208,42.5426278,255.02,7021681,2,3770,0.51,SPE5,4027,81,0.616,0.027,-1.01,0.12,0.74,497,0.9,531,H14,Simbad,287.85812,42.54263
290.3815458,43.2929722,314.01,7603200,3,3841,0.5,SPE5,3841,73,0.512,0.027,-1.33,0.05,1.58,467,1.62,467,H14,Simbad,290.38155,43.29297
290.3815458,43.2929722,314.02,7603200,3,3841,0.5,SPE5,3841,73,0.512,0.027,-1.33,0.05,1.68,392,1.72,392,H14,Simbad,290.38155,43.29297
290.3815458,43.2929722,314.03,7603200,3,3841,0.5,SPE5,3841,73,0.512,0.027,-1.33,0.05,0.64,515,0.66,515,H14,Simbad,290.38155,43.29297
300.2060958,45.0181472,463.01,8845205,1,3387,0.3,SPE5,3377,79,0.372,0.028,-1.71,0.06,1.5,244,1.87,244,H14,Simbad,300.2061,45.01815
298.1057083,48.40115,478.01,10990886,1,3744,0.5,SPE5,3727,74,0.529,0.027,-1.27,0.06,2.63,468,2.78,466,H14,Simbad,298.10571,48.40115
287.6911917,47.5469028,531.01,10395543,1,4030,0.6,SPE5,4065,76,0.63,0.028,-0.92,0.07,3.4,490,3.57,495,H14,Simbad,287.69119,47.5469
298.6527125,43.9550167,571.01,8120608,5,3761,0.46,SPE5,3624,79,0.525,0.029,-1.32,0.07,1.44,705,1.64,679,H14,Simbad,298.65271,43.95502
298.6527125,43.9550167,571.02,8120608,5,3761,0.46,SPE5,3624,79,0.525,0.029,-1.32,0.07,1.59,576,1.81,555,H14,Simbad,298.65271,43.95502
298.6527125,43.9550167,571.03,8120608,5,3761,0.46,SPE5,3624,79,0.525,0.029,-1.32,0.07,1.21,870,1.39,839,H14,Simbad,298.65271,43.95502
298.6527125,43.9550167,571.04,8120608,5,3761,0.46,SPE5,3624,79,0.525,0.029,-1.32,0.07,1.45,484,1.66,466,H14,Simbad,298.65271,43.95502
298.6527125,43.9550167,571.05,8120608,5,3761,0.46,SPE5,3624,79,0.525,0.029,-1.32,0.07,1.02,182,1.17,175,H14,Simbad,298.65271,43.95502
283.7407083,47.5162917,596.01,10388286,1,3678,0.47,SPE5,3635,78,0.536,0.028,-1.35,0.08,1.29,874,1.47,864,H14,Simbad,283.74071,47.51629
288.8120042,40.0333972,818.01,4913852,1,3721,0.52,SPE5,3723,86,0.537,0.028,-1.36,0.1,2.34,581,2.41,582,H14,Simbad,288.812,40.0334
289.5084958,41.8121194,854.01,6435936,1,3593,0.47,SPE5,3694,85,0.47,0.032,-1.12,0.06,2.05,271,2.05,279,H14,Simbad,289.5085,41.81212
282.232525,43.6656306,898.01,7870390,3,3893,0.52,SPE5,4025,99,0.632,0.038,-0.71,0.09,2.42,530,2.94,548,H14,Simbad,282.23252,43.66563
282.232525,43.6656306,898.02,7870390,3,3893,0.52,SPE5,4025,99,0.632,0.038,-0.71,0.09,1.86,656,2.27,679,H14,Simbad,282.23252,43.66563
282.232525,43.6656306,898.03,7870390,3,3893,0.52,SPE5,4025,99,0.632,0.038,-0.71,0.09,2.02,419,2.45,433,H14,Simbad,282.23252,43.66563
296.9850667,43.658525,899.01,7907423,3,3568,0.42,SPE5,3636,77,0.448,0.03,-1.28,0.06,1.34,554,1.43,565,H14,Simbad,296.98507,43.65852
296.9850667,43.658525,899.02,7907423,3,3568,0.42,SPE5,3636,77,0.448,0.03,-1.28,0.06,1.02,715,1.09,729,H14,Simbad,296.98507,43.65852
296.9850667,43.658525,899.03,7907423,3,3568,0.42,SPE5,3636,77,0.448,0.03,-1.28,0.06,1.31,428,1.4,436,H14,Simbad,296.98507,43.65852
283.7320208,45.9587722,936.01,9388479,2,3581,0.44,SPE5,3544,78,0.511,0.028,-1.4,0.07,2.28,520,2.65,515,H14,Simbad,283.73202,45.95877
283.7320208,45.9587722,936.02,9388479,2,3581,0.44,SPE5,3544,78,0.511,0.028,-1.4,0.07,1.3,1143,1.51,1132,H14,Simbad,283.73202,45.95877
291.8628458,46.4292556,947.01,9710326,1,3750,0.46,SPE5,3780,92,0.543,0.034,-1.24,0.07,2.23,450,2.63,454,H14,Simbad,291.86285,46.42926
292.2189833,44.6193389,961.01,8561063,3,3068,0.17,SPE41,3254,106,0.185,0.043,-2.73,0.07,0.86,570,0.94,605,H14,Simbad,292.21898,44.61934
292.2189833,44.6193389,961.02,8561063,3,3068,0.17,SPE41,3254,106,0.185,0.043,-2.73,0.07,0.79,790,0.86,838,H14,Simbad,292.21898,44.61934
