recno,Karmn,Name,GJ,RAICRS,DEICRS,SpType,l_vsini,vsini,Age,factive,SimbadName,_RA_icrs,_DE_icrs
1,"J00051+457 ",GJ 2,"     2",1.3007499999999999,45.78591666666666,M1.0V,<,2.0,0.6,1,GJ 2,1.3007499999999999,45.78591666666666
2,"J00067-075 ",GJ 1002,"  1002",1.6764583333333332,-7.546222222222221,M5.5V,<,2.0,5.0,0,GJ 1002,1.6764583333333332,-7.546222222222221
3,J00162+198E,LP 404-062," 1006B",4.070541666666666,19.860805555555554,M4.0V,<,2.0,5.0,0,LP 404-062,4.070541666666666,19.860805555555554
4,"J00183+440 ",GX And,"   15A",4.612666666666666,44.024722222222216,M1.0V,<,2.0,5.0,0,GX And,4.612666666666666,44.024722222222216
5,"J00184+440 ",GQ And,"   15B",4.62475,44.02869444444444,M3.5V,<,2.0,0.6,0,GQ And,4.62475,44.02869444444444
6,"J00286-066 ",GJ 1012,"  1012",7.162999999999999,-6.66711111111111,M4.0V,<,2.0,5.0,0,GJ 1012,7.162999999999999,-6.66711111111111
7,"J00389+306 ",Wolf 1056,"    26",9.753791666666665,30.61633333333333,M2.5V,<,2.0,5.0,0,Wolf 1056,9.753791666666665,30.61633333333333
8,"J00570+450 ",G 172-030,"     0",14.265041666666665,45.08574999999999,M3.0V,<,2.0,0.6,0,G 172-030,14.265041666666665,45.08574999999999
9,"J01013+613 ",GJ 47,"    47",15.336791666666665,61.36224999999999,M2.0V,<,2.0,5.0,0,GJ 47,15.336791666666665,61.36224999999999
10,"J01025+716 ",BD+70 68,"    48",15.658249999999997,71.67816666666666,M3.0V,<,2.0,5.0,0,GJ 48,15.658249999999997,71.67816666666666
11,"J01026+623 ",BD+61 195,"    49",15.668749999999998,62.34544444444444,M1.5V,<,2.0,0.3,1,BD+61 195,15.668749999999998,62.34544444444444
12,"J01048-181 ",GJ 1028,"  1028",16.230041666666665,-18.122527777777776,M5.0V,<,2.0,5.0,1,GJ 1028,16.230041666666665,-18.122527777777776
13,"J01125-169 ",YZ Cet,"  54.1",18.13308333333333,-16.996249999999996,M4.5V,<,2.0,5.0,0,YZ Cet,18.13308333333333,-16.996249999999996
14,"J01339-176 ",LP 768-113,"     0",23.491874999999997,-17.640749999999997,M4.0V,<,2.0,0.3,1,LP 768-113,23.491874999999997,-17.640749999999997
15,"J01433+043 ",GJ 70,"    70",25.832249999999995,4.318361111111111,M2.0V,<,2.0,5.0,0,GJ 70,25.832249999999995,4.318361111111111
16,"J01518+644 ",G 244-037," 3117A",27.965416666666663,64.43413888888888,M2.5V,<,2.0,0.1,0,G 244-037,27.965416666666663,64.43413888888888
17,"J02002+130 ",TZ Ari,"  83.1",30.05883333333333,13.044305555555553,M3.5V,<,2.0,5.0,1,TZ Ari,30.05883333333333,13.044305555555553
18,"J02015+637 ",G 244-047,"  3126",30.394749999999995,63.76958333333332,M3.0V,<,2.0,5.0,0,G 244-047,30.394749999999995,63.76958333333332
19,"J02070+496 ",G 173-037,"     0",31.767624999999995,49.64355555555555,M3.5V,<,2.0,0.3,0,G 173-037,31.767624999999995,49.64355555555555
20,"J02088+494 ",G 173-039,"  3136",32.224999999999994,49.44774999999999,M3.5V," ",24.1,0.1,0,G 173-039,32.224999999999994,49.44774999999999
21,"J02123+035 ",BD+02 348,"    87",33.079833333333326,3.5676388888888884,M1.5V,<,2.0,5.0,0,BD+02 348,33.079833333333326,3.5676388888888884
22,"J02222+478 ",BD+47 612,"    96",35.562416666666664,47.880194444444435,M0.5V,<,2.0,5.0,0,BD+47 612,35.562416666666664,47.880194444444435
23,"J02336+249 ",GJ 102,"   102",38.405125,24.92422222222222,M4.0V," ",3.0,5.0,1,GJ 102,38.405125,24.92422222222222
24,"J02358+202 ",BD+19 381,"   104",38.97324999999999,20.219277777777776,M2.0V,<,2.0,0.1,0,BD+19 381,38.97324999999999,20.219277777777776
25,"J02362+068 ",BX Cet,"  105B",39.071416666666664,6.877888888888888,M4.0V,<,2.0,5.0,0,BX Cet,39.071416666666664,6.877888888888888
26,"J02442+255 ",VX Ari,"   109",41.068749999999994,25.521805555555552,M3.0V,<,2.0,0.6,0,VX Ari,41.068749999999994,25.521805555555552
27,"J02519+224 ",RBS 365,"     0",42.97591666666666,22.45783333333333,M4.0V," ",27.2,0.1,0,RBS 365,42.97591666666666,22.45783333333333
28,J02565+554W,Ross 364,"  119A",44.148958333333326,55.43527777777777,M1.0V,<,2.0,5.0,0,Ross 364,44.148958333333326,55.43527777777777
29,"J03133+047 ",CD Cet,"  1057",48.352999999999994,4.775194444444444,M5.0V,<,2.0,5.0,0,CD Cet,48.352999999999994,4.775194444444444
30,"J03181+382 ",HD 275122,"   134",49.533624999999994,38.24961111111111,M1.5V,<,2.0,5.0,0,HD 275122,49.533624999999994,38.24961111111111
31,"J03213+799 ",GJ 133,"   133",50.350874999999995,79.96849999999999,M2.0V,<,2.0,5.0,0,GJ 133,50.350874999999995,79.96849999999999
32,"J03217-066 ",G 077-046,"  3218",50.44691666666666,-6.67361111111111,M2.0V,<,2.0,0.3,1,G 077-046,50.44691666666666,-6.67361111111111
33,"J03463+262 ",HD 23453,"   154",56.58579166666666,26.214666666666663,M0.0V," ",3.3,0.6,1,HD 23453,56.58579166666666,26.214666666666663
34,"J03473-019 ",G 080-021,"     0",56.84804166666666,-1.9733888888888886,M3.0V," ",5.2,0.15,0,G 080-021,56.84804166666666,-1.9733888888888886
35,"J03531+625 ",Ross 567,"     0",58.29379166666666,62.56774999999999,M3.0V,<,2.0,5.0,0,Ross 567,58.29379166666666,62.56774999999999
36,"J04225+105 ",LSPM J0422+1031,"     0",65.63437499999999,10.522027777777776,M3.5V,<,2.0,0.6,0,LSPM J0422+1031,65.63437499999999,10.522027777777776
37,"J04290+219 ",BD+21 652,"   169",67.25020833333332,21.923444444444442,M0.5V," ",3.9,5.0,1,BD+21 652,67.25020833333332,21.923444444444442
38,"J04311+589 ",STN 2051A,169.1A,67.80883333333333,58.96827777777777,M4.0V,<,2.0,5.0,0,** STN 2051A,67.80883333333333,58.96827777777777
39,"J04376-110 ",BD-11 916,"   173",69.42345833333333,-11.03972222222222,M1.5V,<,2.0,0.3,0,BD-11 916,69.42345833333333,-11.03972222222222
40,"J04376+528 ",BD+52 857,"   172",69.42270833333332,52.89155555555555,M0.0V," ",3.4,5.0,1,BD+52 857,69.42270833333332,52.89155555555555
41,"J04429+189 ",HD 285968,"   176",70.73537499999999,18.953361111111107,M2.0V,<,2.0,5.0,0,HD 285968,70.73537499999999,18.953361111111107
42,"J04429+214 ",2M J04425586+2128230,"     0",70.73291666666665,21.473555555555553,M3.5V,<,2.0,5.0,0,2MASS J04425586+2128230,70.73291666666665,21.473555555555553
43,"J04520+064 ",Wolf 1539,"   179",73.02454166666665,6.4752222222222215,M3.5V,<,2.0,5.0,0,Wolf 1539,73.02454166666665,6.4752222222222215
44,"J04538-177 ",GJ 180,"   180",73.46008333333333,-17.776194444444442,M2.0V,<,2.0,5.0,0,GJ 180,73.46008333333333,-17.776194444444442
45,"J04588+498 ",BD+49 1280,"   181",74.71145833333333,49.84880555555555,M0.0V,<,2.0,5.0,1,BD+49 1280,74.71145833333333,49.84880555555555
46,"J05019-069 ",LP 656-038,"  3323",75.48687499999998,-6.948499999999999,M4.0V,<,2.0,5.0,1,LP 656-038,75.48687499999998,-6.948499999999999
