Karmn,SpTnum,Vmag,Jmag,TeffVN,e_TeffVN,Teff,loggVN,e_loggVN,[Fe/H]VN,e_[Fe/H]VN,TeffN,e_TeffN,loggN,e_loggN,[Fe/H]N,e_[Fe/H]N,TeffV,e_TeffV,loggV,e_loggV,[Fe/H]V,e_[Fe/H]V
J04311+589,4.0,10.977,6.622,3230,64,3230,4.86,0.07,0.12,0.19,3234,72,4.88,0.05,0.09,0.16,3277,64,4.86,0.05,0.06,0.17
J05337+019,2.5,11.499,7.764,,,,,,,,,,,,,,3391,85,4.95,0.07,-0.26,0.21
J07361-031,1.0,10.034,6.791,3790,64,3790,4.7,0.07,0.1,0.19,3678,72,4.69,0.05,0.36,0.16,3867,64,4.68,0.05,0.26,0.17
J09143+526,0.0,7.791,4.889,4007,54,4007,4.67,0.06,0.2,0.19,3913,56,4.67,0.04,0.29,0.16,4015,51,4.67,0.04,0.2,0.16
J10196+198,3.0,9.524,5.449,3308,64,3308,4.93,0.07,-0.13,0.19,3368,72,5.0,0.05,-0.38,0.16,3309,64,4.93,0.05,-0.13,0.17
J15474-108,2.0,11.26,7.582,3507,54,3507,4.82,0.06,-0.15,0.19,3515,56,4.87,0.04,-0.3,0.16,3511,51,4.81,0.04,-0.14,0.16
J23113+085,3.5,12.6,8.466,3364,54,3364,4.83,0.06,0.03,0.19,3363,56,4.82,0.04,0.07,0.16,3369,51,4.83,0.04,0.03,0.16
J23556-061,2.5,11.17,7.6,3727,54,3727,4.65,0.06,0.48,0.19,3725,56,4.66,0.04,0.6,0.16,3685,51,4.66,0.04,0.38,0.16
J23585+076,3.0,11.722,7.907,3411,54,3411,4.82,0.06,-0.01,0.19,3412,56,4.83,0.04,-0.05,0.16,3413,51,4.82,0.04,-0.03,0.16
J04290+219,0.5,8.496,5.674,4187,64,4187,4.63,0.07,0.45,0.19,4003,72,4.64,0.05,0.66,0.16,4173,64,4.63,0.05,0.41,0.17
J16167+672S,0.0,8.896,5.779,4075,54,4075,4.63,0.06,0.41,0.19,3965,56,4.64,0.04,0.57,0.16,4058,51,4.63,0.04,0.37,0.16
J18198-019,-1.0,9.919,7.084,4119,54,4119,4.67,0.06,0.15,0.19,4006,56,4.67,0.04,0.24,0.16,4130,51,4.67,0.04,0.15,0.16
J14307-086,0.5,9.736,6.616,4070,54,4070,4.63,0.06,0.38,0.19,3995,56,4.64,0.04,0.51,0.16,4057,51,4.63,0.04,0.35,0.16
J14257+236W,0.0,9.701,6.769,4020,54,4020,4.63,0.06,0.43,0.19,3909,56,4.64,0.04,0.61,0.16,3999,51,4.64,0.04,0.38,0.16
J04588+498,0.0,9.819,6.925,4004,54,4004,4.64,0.06,0.33,0.19,3918,56,4.64,0.04,0.47,0.16,3995,51,4.64,0.04,0.31,0.16
J05365+113,0.0,9.223,6.126,4062,64,4062,4.66,0.07,0.31,0.19,3940,72,4.67,0.05,0.5,0.16,4046,64,4.67,0.05,0.27,0.17
J19346+045,0.0,9.283,6.714,4025,64,4025,4.65,0.07,0.09,0.19,3978,72,4.65,0.05,0.12,0.16,4025,64,4.65,0.05,0.08,0.17
J07393+021,0.0,9.755,6.769,4000,54,4000,4.63,0.06,0.31,0.19,3871,56,4.64,0.04,0.48,0.16,3987,51,4.63,0.04,0.28,0.16
J04376+528,0.0,8.863,5.866,4010,54,4010,4.64,0.06,0.18,0.19,3927,56,4.64,0.04,0.27,0.16,4021,51,4.64,0.04,0.18,0.16
J09144+526,0.0,8.516,4.779,3980,54,3980,4.67,0.06,0.21,0.19,3904,56,4.67,0.04,0.3,0.16,3991,51,4.67,0.04,0.21,0.16
J14257+236E,0.5,9.921,6.889,3952,54,3952,4.64,0.06,0.44,0.19,3882,56,4.64,0.04,0.59,0.16,3922,51,4.64,0.04,0.39,0.16
J03463+262,0.0,9.58,6.689,4001,64,4001,4.66,0.07,0.39,0.19,3911,72,4.66,0.05,0.55,0.16,3975,64,4.66,0.05,0.34,0.17
J02565+554W,1.0,10.524,7.425,3889,54,3889,4.64,0.06,0.45,0.19,3813,56,4.65,0.04,0.57,0.16,3875,51,4.64,0.04,0.42,0.16
J12123+544S,0.0,9.699,6.875,3913,54,3913,4.68,0.06,0.22,0.19,3855,56,4.68,0.04,0.26,0.16,3910,51,4.68,0.04,0.22,0.16
