Teff,logg,U-B,B-V,V-Ic,Rc-Ic,J-H,H-Ks,V-Ks,Ks-W1,Ks-W2,Ks-W3,Ks-W4,V-Vt,Bt-Vt,V-Hp,Model
1400,3.5,3.475,3.191,5.213,2.454,1.916,1.344,13.151,1.379,1.967,2.652,2.921,-0.405,3.747,0.979,BT-Settl
1400,4.0,4.909,0.795,7.25,2.854,1.149,0.635,13.788,0.983,1.083,2.226,2.292,0.091,1.668,2.55,BT-Settl
1400,4.5,4.959,-0.165,7.918,3.184,0.919,0.306,13.929,0.923,1.148,2.326,2.426,0.561,1.123,2.903,BT-Settl
1400,5.0,4.957,-0.945,8.421,3.433,0.893,0.098,14.184,0.873,1.363,2.474,2.631,1.085,0.836,3.189,BT-Settl
1500,3.5,3.642,3.306,5.223,2.433,1.467,1.048,12.157,1.088,1.594,2.323,2.577,-0.412,3.929,1.006,BT-Settl
1500,4.0,4.767,1.441,6.573,2.583,1.017,0.599,12.684,0.908,1.106,2.072,2.153,-0.115,2.151,2.156,BT-Settl
1500,4.5,4.936,0.642,7.205,2.866,0.876,0.406,13.037,0.911,1.102,2.119,2.204,0.173,1.61,2.505,BT-Settl
1500,5.0,4.925,-0.249,7.727,3.094,0.898,0.251,13.412,0.836,1.103,2.158,2.252,0.639,1.119,2.827,BT-Settl
1600,3.5,3.135,3.018,4.684,2.246,1.143,0.854,10.673,0.953,1.379,2.158,2.395,-0.377,3.559,0.716,BT-Settl
1600,4.0,4.517,2.333,5.841,2.387,0.915,0.656,11.805,0.843,1.131,1.973,2.077,-0.287,2.995,1.638,BT-Settl
1600,4.5,4.677,1.161,6.536,2.572,0.812,0.44,12.081,0.803,0.998,1.893,1.982,0.016,2.023,2.145,BT-Settl
1600,5.0,4.72,0.335,7.172,2.858,0.847,0.343,12.731,0.838,1.136,2.017,2.138,0.321,1.396,2.503,BT-Settl
1700,3.5,2.856,2.857,4.585,2.243,0.928,0.774,10.201,0.743,1.19,1.899,2.11,-0.357,3.361,0.643,BT-Settl
1700,4.0,3.926,2.785,4.737,2.185,0.843,0.616,10.513,0.828,1.232,1.927,2.141,-0.348,3.361,0.825,BT-Settl
1700,4.5,3.863,2.818,4.563,2.089,1.001,0.722,10.195,1.059,1.465,2.098,2.225,-0.352,3.414,0.758,BT-Settl
1700,5.0,3.715,2.959,4.319,2.033,1.227,0.978,10.163,1.016,1.292,1.908,1.961,-0.369,3.554,0.597,BT-Settl
1800,3.5,2.403,2.617,4.594,2.319,0.829,0.592,9.886,0.687,1.148,1.735,1.921,-0.327,3.043,0.597,BT-Settl
1800,4.0,4.234,2.39,4.996,2.33,0.747,0.523,10.185,0.607,0.857,1.533,1.615,-0.254,3.162,0.947,BT-Settl
1800,4.5,4.706,1.953,5.414,2.36,0.807,0.503,10.558,0.649,0.827,1.586,1.617,-0.148,2.839,1.301,BT-Settl
1800,5.0,4.963,1.717,5.556,2.365,0.826,0.493,10.63,0.775,1.066,1.752,1.876,-0.093,2.633,1.431,BT-Settl
1900,3.5,2.152,2.487,4.656,2.379,0.805,0.648,9.97,0.708,1.134,1.608,1.79,-0.311,2.873,0.603,BT-Settl
1900,4.0,3.895,2.422,4.872,2.373,0.69,0.475,9.873,0.539,0.793,1.429,1.503,-0.26,3.168,0.804,BT-Settl
1900,4.5,4.611,2.001,5.298,2.433,0.673,0.367,10.168,0.53,0.687,1.377,1.409,-0.156,2.879,1.137,BT-Settl
