SpT,Teff,BCV,U-B,B-V,V-Rc,V-Ic,V-J,V-H,V-Ks,K-W1,K-W2,K-W3,K-W4
O9V,34000,-3.2,-1.114,-0.318,,-0.369,-0.765,-0.929,-1.0,,,,
O9.5V,32000,-3.06,-1.087,-0.312,,-0.361,-0.747,-0.908,-0.977,,,,
B0V,31500,-3.03,-1.067,-0.307,,-0.355,-0.732,-0.891,-0.958,,,,
B0.5V,29000,-2.87,-1.026,-0.295,,-0.338,-0.697,-0.85,-0.913,,,,
B1V,26000,-2.61,-0.995,-0.278,-0.115,-0.325,-0.667,-0.815,-0.874,,,,
B1.5V,24800,-2.43,-0.91,-0.252,-0.114,-0.281,-0.573,-0.705,-0.752,,,,
B2V,20600,-2.06,-0.79,-0.21,-0.094,-0.23,-0.457,-0.57,-0.602,,,,
B2.5V,18500,-1.79,-0.732,-0.198,-0.087,-0.21,-0.413,-0.518,-0.544,,,,
B3V,17000,-1.58,-0.673,-0.178,-0.08,-0.192,-0.373,-0.471,-0.492,,,,
B4V,16700,-1.53,-0.619,-0.165,-0.074,-0.176,-0.339,-0.431,-0.447,,,,
B5V,15700,-1.37,-0.581,-0.156,-0.07,-0.165,-0.315,-0.404,-0.417,,,,
B6V,14500,-1.16,-0.504,-0.14,-0.062,-0.145,-0.27,-0.351,-0.358,,,,
B7V,14000,-1.07,-0.459,-0.128,-0.058,-0.133,-0.244,-0.321,-0.325,,,,
B8V,12500,-0.79,-0.364,-0.109,-0.048,-0.108,-0.19,-0.257,-0.254,,,,
B9V,10700,-0.44,-0.2,-0.07,-0.028,-0.061,-0.087,-0.137,-0.121,,,,
B9.5V,10400,-0.38,-0.13,-0.05,-0.017,-0.035,-0.025,-0.069,-0.048,,,,
A0V,9700,-0.24,-0.005,0.0,0.001,0.004,0.045,0.013,0.041,,,,
A1V,9200,-0.15,0.033,0.043,0.019,0.044,0.094,0.07,0.101,,,,
A2V,8840,-0.1,0.063,0.074,0.042,0.091,0.164,0.154,0.188,,,,
A3V,8550,-0.06,0.077,0.09,0.05,0.108,0.196,0.194,0.228,,,,
A4V,8270,-0.04,0.097,0.14,0.078,0.164,0.294,0.316,0.353,,,,
A5V,8080,-0.03,0.1,0.16,0.089,0.186,0.334,0.365,0.403,,,,
A6V,8000,-0.02,0.098,0.17,0.094,0.197,0.354,0.39,0.428,,,,
A7V,7800,0.0,0.091,0.21,0.117,0.242,0.433,0.488,0.528,,,,
A8V,7500,0.0,0.082,0.25,0.14,0.288,0.509,0.584,0.626,,,,
A9V,7440,0.0,0.08,0.255,0.143,0.294,0.517,0.595,0.638,,,,
F0V,7200,-0.01,0.053,0.294,0.166,0.339,0.589,0.687,0.732,0.023,0.037,-0.021,0.054
F1V,7030,-0.01,0.021,0.334,0.19,0.385,0.662,0.781,0.828,0.027,0.036,-0.019,0.052
F2V,6810,-0.02,-0.008,0.374,0.213,0.432,0.735,0.875,0.925,0.031,0.034,-0.017,0.05
F3V,6720,-0.03,-0.016,0.389,0.222,0.449,0.763,0.91,0.961,0.032,0.034,-0.016,0.049
F4V,6640,-0.04,-0.026,0.412,0.236,0.476,0.806,0.965,1.017,0.035,0.033,-0.014,0.048
F5V,6510,-0.04,-0.029,0.438,0.252,0.506,0.852,1.025,1.079,0.037,0.032,-0.012,0.047
F6V,6340,-0.05,-0.021,0.484,0.276,0.553,0.929,1.128,1.185,0.041,0.03,-0.007,0.045
F7V,6240,-0.06,-0.012,0.51,0.29,0.579,0.971,1.184,1.244,0.043,0.028,-0.005,0.045
F8V,6150,-0.07,0.001,0.53,0.3,0.599,1.004,1.229,1.29,0.045,0.027,-0.003,0.044
F9V,6040,-0.08,0.014,0.552,0.312,0.62,1.04,1.277,1.34,0.046,0.026,-0.001,0.044
G0V,5920,-0.09,0.049,0.588,0.331,0.656,1.097,1.355,1.421,0.049,0.024,0.003,0.045
G1V,5880,-0.1,0.067,0.604,0.34,0.672,1.123,1.39,1.458,0.05,0.023,0.005,0.045
G2V,5770,-0.11,0.133,0.65,0.363,0.713,1.197,1.491,1.564,0.053,0.02,0.009,0.046
G3V,5720,-0.12,0.152,0.661,0.368,0.722,1.217,1.516,1.59,0.053,0.019,0.01,0.047
G4V,5680,-0.13,0.175,0.674,0.374,0.733,1.239,1.546,1.621,0.054,0.018,0.011,0.048
G5V,5660,-0.13,0.185,0.68,0.377,0.738,1.249,1.559,1.635,0.055,0.017,0.012,0.048
G6V,5590,-0.15,0.229,0.704,0.388,0.758,1.288,1.612,1.691,0.056,0.016,0.014,0.05
G7V,5530,-0.16,0.243,0.713,0.393,0.766,1.303,1.632,1.712,0.056,0.015,0.015,0.05
G8V,5490,-0.17,0.284,0.737,0.404,0.786,1.344,1.686,1.768,0.058,0.013,0.017,0.052
G9V,5340,-0.21,0.358,0.777,0.423,0.82,1.409,1.774,1.861,0.059,0.01,0.02,0.056
K0V,5280,-0.22,0.436,0.816,0.443,0.853,1.475,1.862,1.953,0.061,0.007,0.023,0.06
K1V,5170,-0.26,0.502,0.847,0.46,0.883,1.535,1.94,2.034,0.063,0.005,0.025,0.064
K2V,5040,-0.29,0.6,0.893,0.487,0.929,1.624,2.056,2.155,0.065,0.003,0.029,0.07
K3V,4840,-0.41,0.801,0.99,0.544,1.025,1.81,2.3,2.41,0.07,0.001,0.039,0.086
K4V,4620,-0.55,1.004,1.1,0.64,1.19,2.064,2.608,2.733,0.078,0.008,0.059,0.112
K5V,4450,-0.67,1.056,1.134,0.671,1.246,2.145,2.705,2.835,0.082,0.014,0.067,0.121
K6V,4200,-0.86,1.199,1.257,0.771,1.448,2.434,3.039,3.19,0.096,0.044,0.11,0.165
K7V,4050,-1.0,1.222,1.336,0.824,1.574,2.616,3.239,3.407,0.106,0.072,0.144,0.2
K8V,3970,-1.11,1.213,1.382,0.859,1.671,2.743,3.373,3.554,0.113,0.094,0.171,0.228
K9V,3880,-1.25,1.198,1.418,0.9,1.802,2.907,3.531,3.728,0.122,0.123,0.204,0.265
M0V,3850,-1.3,1.19,1.431,0.913,1.848,2.965,3.587,3.79,0.125,0.134,0.217,0.28
M1V,3680,-1.53,1.171,1.484,0.974,2.074,3.265,3.873,4.1,0.14,0.191,0.28,0.357
M2V,3550,-1.65,1.17,1.5,1.001,2.173,3.406,4.006,4.24,0.146,0.217,0.308,0.393
M3V,3400,-1.97,1.181,1.544,1.079,2.42,3.769,4.348,4.6,0.16,0.277,0.374,0.481
M4V,3200,-2.59,1.215,1.661,1.241,2.831,4.411,4.968,5.25,0.182,0.348,0.465,0.586
