recno,Name,SpType,SpTnum,Vmag,Jmag,Hmag,Kmag,Teff,logg,[M/H],chi2,TeffP,loggP,[M/H]P,Simbad,_RA,_DE
1,BD+44 4548,M1.0,1,9.97,6.704,6.098,5.853,3500,5.0,0.0,0.31,3665,4.85,-0.16,Simbad,1.29537,45.78657
2,GJ 1002,M5.5,5.5,13.837,8.323,7.792,7.439,3100,5.5,0.2,1.61,,,,Simbad,1.67999,-7.53806
3,L 1226-8,M4.0,4,13.24,8.893,8.339,8.097,3300,5.0,0.3,0.79,3336,5.02,0.08,Simbad,4.0673,19.86402
4,V* GX And,M1.0,1,8.13,5.25,4.48,4.02,3500,5.0,-0.2,0.48,3606,4.93,-0.27,Simbad,4.59535,44.02295
5,V* GQ And,M3.5,3.5,11.04,6.789,6.191,5.948,3200,5.0,0.0,0.78,3283,5.11,-0.19,Simbad,4.6076,44.02725
6,LHS 1084,M4.0,4,12.23,8.038,7.504,7.189,3400,5.0,0.3,0.66,3387,4.99,0.05,Simbad,7.16444,-6.66366
7,Wolf 1056,M2.5,2.5,11.24,7.453,6.864,6.606,3500,5.0,0.0,0.8,3537,4.89,-0.04,Simbad,9.74602,30.61622
8,LHS 1169,M3.0,3,11.972,8.101,7.459,7.241,3400,5.0,0.0,0.67,3425,4.99,-0.05,Simbad,14.26122,45.08605
9,Wolf 44,M2.0,2,10.87,7.272,6.71,6.483,3500,5.0,-0.3,0.39,3537,4.92,-0.13,Simbad,15.33354,61.36574
10,GJ 3069,M5.0,5,15.12,9.778,9.197,8.864,3400,5.5,0.5,4.65,,,,Simbad,15.49789,54.1827
11,BD+70 68a,M3.0,3,10.28,8.193,7.705,7.534,3500,5.2,0.4,0.54,3478,4.92,0.0,Simbad,15.37352,71.684
12,BD+61 195,M1.5,1.5,9.56,6.23,5.582,5.371,3600,5.5,0.3,0.35,3796,4.69,0.13,Simbad,15.66195,62.34505
13,Wolf 47,M5.0,5,13.66,8.611,8.014,7.718,3200,5.4,0.2,2.94,,,,Simbad,15.83264,62.36551
14,G 268-110,M5.0,5,14.47,9.387,8.75,8.453,3100,5.2,0.2,1.48,,,,Simbad,16.22418,-18.12462
15,V* YZ Cet,M4.5,4.5,12.074,7.258,6.749,6.42,3200,5.4,0.3,1.3,3152,5.17,-0.2,Simbad,18.12765,-16.99899
16,LP 768-113,M4.0,4,13.042,8.842,8.244,7.972,3400,5.5,0.3,0.87,3335,5.07,-0.11,Simbad,23.49167,-17.63995
17,LHS 1290,M2.0,2,10.915,7.37,6.809,6.516,3500,5.0,0.0,0.42,3534,4.91,-0.08,Simbad,25.83408,4.32166
18,G 244-37,M2.5,2.5,11.379,7.838,7.25,6.937,3500,5.1,0.0,0.67,3553,4.89,-0.06,Simbad,27.96305,64.43498
19,GJ 83.1,M3.5,3.5,12.298,7.514,6.97,6.648,3200,5.4,0.3,1.18,3185,5.15,-0.18,Simbad,30.05398,13.05195
20,G 244-47,M3.0,3,10.95,7.265,6.614,6.389,3500,5.2,0.0,1.62,3495,4.93,-0.05,Simbad,30.39725,63.77
21,G 173-37,M3.5,3.5,12.225,8.366,7.768,7.54,3400,5.1,0.0,0.54,3414,5.02,-0.12,Simbad,31.76607,49.64541
22,GJ 3136,M3.5,3.5,12.451,8.423,7.811,7.584,3300,5.5,-0.5,3.35,,,,Simbad,32.22343,49.44901
23,BD+02 348,M1.5,1.5,10.042,6.83,6.321,6.077,3700,5.0,-0.5,0.41,3659,4.81,-0.05,Simbad,33.08745,3.57562
24,BD+47 612,M0.5,0.5,9.345,6.377,5.77,5.554,3800,5.5,0.3,0.37,3921,4.68,0.06,Simbad,35.56102,47.88003
25,GJ 102,M4.0,4,12.978,8.472,7.913,7.627,3200,5.1,0.4,1.06,3293,5.09,-0.11,Simbad,38.4049,24.92714
26,BD+19 381,M2.0,2,10.628,7.208,6.572,6.328,3500,5.1,0.0,0.38,3595,4.88,-0.1,Simbad,38.97211,20.21988
27,V* BX Cet,M4.0,4,11.664,7.333,6.793,6.574,3200,5.0,0.3,1.34,3326,5.03,0.04,Simbad,39.06361,6.87165
28,V* VX Ari,M3.0,3,10.563,6.752,6.197,5.961,3500,5.1,0.0,0.52,3459,4.96,-0.07,Simbad,41.06462,25.52337
29,GAT 1370,M7.0,7,15.4,8.394,7.883,7.585,2900,5.5,0.3,3.18,,,,Simbad,43.25371,16.88129
30,Ross 364,M1.0,1,10.46,7.425,6.797,6.59,3800,5.5,0.3,0.94,3891,4.66,0.19,Simbad,44.14344,55.43725
31,V* CD Cet,M5.0,5,14.001,8.775,8.208,7.833,3100,5.1,0.2,1.35,,,,Simbad,48.34549,4.77482
32,HD 275122,M1.5,1.5,10.28,7.023,6.371,6.164,3700,5.5,0.2,0.57,3854,4.66,0.2,Simbad,49.53117,38.25207
33,GJ 133,M2.0,2,11.2,7.704,7.117,6.89,3500,5.0,-0.4,0.58,3574,4.9,-0.11,Simbad,50.34075,79.96727
34,G 77-46,M2.0,2,11.314,7.857,7.281,6.983,3500,5.1,0.0,0.43,3552,4.91,-0.13,Simbad,50.44551,-6.67339
35,HD 23453,M0.0,0,9.58,6.689,6.046,5.844,3800,5.5,0.4,0.84,3997,4.65,0.11,Simbad,56.58392,26.21551
36,Ross 567,M3.0,3,11.496,7.782,7.278,6.997,3300,5.5,-0.5,7.46,3484,4.94,-0.04,Simbad,58.29348,62.56891
37,LSR J0419+4233,M8.5,8.5,,11.094,10.383,9.9,2400,4.9,0.1,6.47,,,,Simbad,64.96722,42.55845
38,LSPM J0422+1031,M3.5,3.5,12.51,8.471,7.864,7.56,3300,5.0,0.4,0.72,3438,4.96,0.0,Simbad,65.63328,10.52189
39,HD 28343,M0.5,0.5,8.3,5.674,5.05,4.875,4000,5.5,0.5,0.48,4194,4.59,0.2,Simbad,67.25052,21.9227
40,HD 232979,M0.0,0,8.863,5.866,5.268,5.047,3900,5.5,-0.3,0.55,4034,4.68,-0.09,Simbad,69.42054,52.89361
