Karmn,Name,Lbol,Lberr,Teff_cif,Teff,e_Teff,SpType,SpTnum,logg,e_logg,loggc,e_loggc,[Fe/H],e_[Fe/H],Lum,e_Lum,d,e_d,r_d,Rad,e_Rad,RadP,e_RadP,MassMR,e_MassMR,MassMMKs,e_MassMMKs,MassLogg,e_MassLogg,MassP,e_MassP,Com,SimbadName,_RA,_DE,recno
J18198-019,Gl 710,0.09583326,0.0012294586,4000,4143,51,"   dK7",-1.0,4.66,0.07,4.677,0.028,-0.11,0.16,0.0908,0.0019,19.04,0.018,GAIA2,0.5846,0.016,,,0.5929,0.021,0.619,0.016,0.5701,0.097,,,New,Gl 710,274.96184,-1.93861,226
J06371+175,Gl 239,0.035418373,6.292038E-4,3800,3737,51," dM0.0",0.0,4.89,0.07,4.78,0.03,-0.42,0.16,0.03647,6.3E-4,10.01,0.005,GAIA2,0.4554,0.013,0.476,0.0058,0.4565,0.018,0.4676,0.012,0.5875,0.1,0.4827,0.0061,,Gl 239,99.295,17.56481,68
J05365+113,Gl 208,0.08037078,0.001416089,3900,4074,51," dM0.0",0.0,4.65,0.07,4.685,0.029,0.05,0.16,0.08164,0.002,11.44,0.0078,GAIA2,0.5733,0.016,0.6304,0.0046,0.5809,0.021,0.6048,0.015,0.5358,0.091,0.6301,0.0081,,Gl 208,84.12913,11.32787,58
J04376+528,Gl 172,0.07653699,8.3059445E-4,3900,4034,51," dM0.0",0.0,4.68,0.07,4.687,0.028,-0.09,0.16,0.07779,0.0013,9.923,0.0059,GAIA2,0.5708,0.015,,,0.5783,0.02,0.5924,0.015,0.5691,0.097,,,,Gl 172,69.42054,52.89361,41
J09144+526,Gl 338B,0.07481038,1.4766358E-4,3800,4005,51," dM0.0",0.0,4.68,0.07,4.677,0.033,-0.03,0.16,0.0792,0.0031,6.333,0.0016,GAIA2,0.5843,0.019,0.6111,0.026,0.5925,0.023,0.5828,0.015,0.5963,0.1,0.6134,0.03,,Gl 338B,138.60285,52.68636,102
J09561+627,Gl 373,0.070776075,0.0011027792,3800,3980,51," dM0.0",0.0,4.66,0.07,4.69,0.028,0.07,0.16,0.0727,0.0014,10.53,0.0044,GAIA2,0.5668,0.016,0.6017,0.0053,0.5741,0.02,0.5886,0.015,0.5359,0.091,0.6013,0.0098,,Gl 373,149.03613,62.78846,115
J16167+672S,Gl 617A,0.098310106,9.1002765E-4,3900,4090,51," dM0.0",0.0,4.62,0.07,4.654,0.03,0.15,0.16,0.09616,0.0028,10.77,0.0035,GAIA2,0.6173,0.018,0.7803,0.035,0.6274,0.023,0.6312,0.016,0.5797,0.099,0.5979,0.072,,Gl 617A,244.17811,67.23884,199
J19346+045,Gl 763,0.077862315,9.72303E-4,4000,4062,51,sdM0.0,0.0,4.69,0.07,4.697,0.027,-0.17,0.16,0.07633,5.4E-4,14.43,0.0083,GAIA2,0.5576,0.014,0.6054,0.0042,0.5644,0.019,0.5838,0.015,0.5557,0.094,0.6056,0.0098,,Gl 763,293.666,4.58251,245
J17303+055,Gl 678.1 A,0.051545996,9.74448E-4,3800,3812,51," dM0.0",0.0,4.77,0.07,4.717,0.029,-0.15,0.16,0.05378,7.4E-4,10.12,0.0041,GAIA2,0.5315,0.015,,,0.5368,0.019,0.5419,0.014,0.6071,0.1,,,,Gl 678.1 A,262.5947,5.54852,213
J14257+236W,Gl 548A,0.08329098,0.0015416062,3900,4024,51," dM0.0",0.0,4.64,0.07,4.671,0.027,0.17,0.16,0.0833,0.0012,16.34,0.013,GAIA2,0.5936,0.016,0.6389,0.0049,0.6023,0.021,0.6149,0.016,0.5613,0.095,0.6449,0.011,,Gl 548A,216.43115,23.61708,180
J13450+176,Gl 525,0.044876073,5.16222E-4,3900,3806,51," dM1.0",0.0,4.85,0.07,4.747,0.029,-0.43,0.16,0.04609,5.2E-4,12.91,0.0067,GAIA2,0.4936,0.014,0.4916,0.0055,0.4968,0.018,0.4995,0.013,0.6295,0.11,0.5004,0.0064,,Gl 525,206.27117,17.78544,168
J12123+544S,Gl 458A,0.07096178,0.0014946773,3800,3933,51," dM0.0",0.0,4.7,0.07,4.687,0.029,-0.03,0.16,0.07019,0.0015,15.24,0.007,GAIA2,0.5704,0.016,0.5831,0.012,0.5778,0.021,0.5804,0.014,0.5951,0.1,0.5836,0.013,,Gl 458A,183.08692,54.48576,148
J09143+526,Gl 338A,,,,4024,51," dM0.0",0.0,4.68,0.07,4.682,0.035,-0.05,0.16,0.07892,0.0038,6.334,0.0016,GAIA2,0.5778,0.02,,,0.5856,0.025,0.6046,0.016,0.5832,0.1,,,New,Gl 338A,138.5949,52.68661,101
J07393+021,Gl 281,0.07695111,0.0013106533,3900,4014,51," dM0.0",0.0,4.66,0.07,4.686,0.028,0.07,0.16,0.0766,0.0015,15.06,0.011,GAIA2,0.5721,0.016,0.6161,0.0069,0.5796,0.021,0.6039,0.015,0.546,0.093,0.6168,0.011,,Gl 281,114.84599,2.18367,82
J04588+498,Gl 181,0.08104121,0.0010912558,3800,4022,51," dM0.0",0.0,4.65,0.07,4.679,0.028,0.09,0.16,0.07975,0.0014,16.62,0.017,GAIA2,0.5814,0.016,0.6189,0.0062,0.5894,0.021,0.6013,0.015,0.551,0.094,0.6212,0.011,,Gl 181,74.71073,49.84929,47
J03463+262,Gl 154,0.07345183,7.68402E-4,3800,3993,51," dM0.0",0.0,4.65,0.07,4.698,0.028,0.12,0.16,0.07073,0.001,14.4,0.012,GAIA2,0.5555,0.015,0.6009,0.0046,0.5621,0.02,0.5937,0.015,0.503,0.085,0.6008,0.0093,,Gl 154,56.58392,26.21551,34
J04219+213,K2-155,0.072303414,0.0010329915,4100,3940,51," dM0.0",0.0,4.76,0.07,4.679,0.031,-0.33,0.16,0.0735,0.0023,72.94,0.27,GAIA2,0.5816,0.018,,,0.5897,0.022,0.5753,0.015,0.7104,0.12,,,New,K2-155,65.46869,21.35359,37
J13299+102,Gl 514,0.03963461,4.4655477E-4,3700,3714,51," dM0.5",0.5,4.81,0.07,4.752,0.029,-0.15,0.16,0.04076,4.9E-4,7.62,0.0029,GAIA2,0.4874,0.014,0.5009,0.0044,0.4903,0.018,0.5054,0.013,0.5598,0.096,0.5071,0.0058,,Gl 514,202.49911,10.37716,166
J06105-218,Gl 229A,0.055454835,2.1125638E-4,3700,3837,51," dM0.5",0.5,4.7,0.07,4.723,0.036,0.07,0.16,0.05348,0.0025,5.757,0.0017,GAIA2,0.5231,0.019,0.5456,0.0089,0.5279,0.023,0.5462,0.038,0.5005,0.088,0.5449,0.0094,,Gl 229,92.64423,-21.86463,66
J22021+014,Gl 846,0.06402236,0.001098761,3700,3915,51," dM0.5",0.5,4.69,0.07,4.709,0.032,0.03,0.16,0.06214,0.002,10.56,0.016,GAIA2,0.5416,0.017,0.5719,0.0049,0.5475,0.021,0.5711,0.014,0.5243,0.09,0.5711,0.0083,,Gl 846,330.54281,1.40023,266
J02222+478,Gl 96,0.06408569,0.0015046907,3900,3935,51," dM0.5",0.5,4.67,0.07,4.706,0.03,0.07,0.16,0.06424,0.0016,11.94,0.01,GAIA2,0.5451,0.016,,,0.5512,0.02,0.5763,0.015,0.5072,0.087,,,,Gl 96,35.56102,47.88003,22
J22503-070,Gl 875,0.058401003,7.712349E-4,3800,3904,51," dM0.5",0.5,4.72,0.07,4.715,0.029,-0.1,0.16,0.05976,0.001,14.5,0.011,GAIA2,0.5341,0.015,0.5584,0.0052,0.5396,0.02,0.5573,0.014,0.5464,0.093,0.5586,0.0085,,Gl 875,342.58093,-7.09011,278
J18580+059,Gl 740,0.06620975,0.0013199315,3800,3923,51," dM0.5",0.5,4.68,0.07,4.7,0.028,0.08,0.16,0.06529,0.001,11.1,0.0062,GAIA2,0.5529,0.015,0.5802,0.01,0.5594,0.02,0.5823,0.015,0.534,0.091,0.5799,0.012,,Gl 740,284.50057,5.90812,237
J18353+457,Gl 720A,0.069857895,0.0010737847,3800,3932,51," dM0.5",0.5,4.68,0.07,4.682,0.028,0.06,0.16,0.0719,0.0011,15.56,0.0073,GAIA2,0.5776,0.016,0.6005,0.0054,0.5854,0.021,0.5836,0.014,0.5828,0.099,0.6001,0.0097,,Gl 720A,278.82663,45.74404,231
J17355+616,Gl 685,0.056849957,6.35168E-4,3700,3893,51," dM0.5",0.5,4.69,0.07,4.717,0.028,0.06,0.16,0.0585,6.4E-4,14.32,0.0082,GAIA2,0.5315,0.014,0.5748,0.0067,0.5368,0.019,0.5587,0.014,0.5049,0.086,0.5732,0.0093,,Gl 685,263.89366,61.68156,214
J14307-086,Gl 553,0.095075004,9.887513E-4,4000,4089,51," dM0.5",0.5,4.63,0.07,4.653,0.027,0.14,0.16,0.09668,0.0014,15.78,0.01,GAIA2,0.6193,0.016,0.7408,0.025,0.6295,0.021,0.6333,0.016,0.5971,0.1,0.6239,0.046,,Gl 553,217.69882,-8.64633,182
J14257+236E,Gl 548B,0.07379573,7.7609683E-4,3800,3947,51," dM0.5",0.5,4.65,0.07,4.682,0.028,0.17,0.16,0.07316,0.001,16.34,0.013,GAIA2,0.5782,0.015,0.6249,0.0044,0.5861,0.021,0.5977,0.015,0.545,0.093,0.627,0.01,,Gl 548B,216.44438,23.62047,179
J12312+086,Gl 471,0.06084872,0.002014484,3800,3914,51," dM0.5",0.5,4.71,0.07,4.707,0.032,-0.07,0.16,0.06264,0.002,13.56,0.075,GAIA2,0.5441,0.017,0.5707,0.014,0.5501,0.021,0.5673,0.014,0.5541,0.096,0.5694,0.014,,Gl 471,187.81584,8.81061,153
J09511-123,Gl 369,0.04593253,7.20534E-4,3700,3777,51," dM0.5",0.5,4.76,0.07,4.744,0.029,-0.07,0.16,0.04536,7.2E-4,13.12,0.0086,GAIA2,0.4972,0.014,0.5257,0.0045,0.5006,0.019,0.5158,0.013,0.5191,0.089,0.5275,0.0057,,Gl 369,147.79017,-12.32985,114
J04290+219,Gl 169,0.11408235,0.0025324372,4100,4199,51," dM0.5",0.5,4.59,0.07,4.64,0.03,0.23,0.16,0.1145,0.0036,11.24,0.0063,GAIA2,0.6392,0.019,0.8455,0.036,0.6504,0.024,0.6555,0.017,0.5801,0.099,0.6243,0.076,,Gl 169,67.25052,21.9227,39
J11054+435,Gl 412A,0.019197224,2.7038186E-4,3400,3639,51," dM1.0",1.0,4.92,0.07,4.86,0.031,-0.3,0.16,0.02223,4.4E-4,4.848,0.024,"  HIP",0.375,0.011,,,0.3716,0.015,0.3886,0.01,0.4269,0.073,,,Out,Gl 412A,166.36907,43.52678,130
J00183+440,Gl 15A,0.024456171,5.7513076E-5,3600,3615,51," dM1.0",1.0,4.91,0.07,4.841,0.03,-0.25,0.16,0.02379,2.6E-4,3.563,5.1E-4,GAIA2,0.3931,0.011,0.3634,0.038,0.3907,0.016,0.4018,0.01,0.4584,0.078,0.3695,0.041,Out,Gl 15A,4.59535,44.02295,4
J23492+024,Gl 908,0.026224997,2.0791368E-4,3700,3653,51," dM1.0",1.0,4.84,0.07,4.836,0.031,-0.13,0.16,0.0254,4.3E-4,5.905,0.0021,GAIA2,0.3977,0.012,,,0.3957,0.016,0.4135,0.01,0.3993,0.068,,,,Gl 908,357.30219,2.40122,290
J17378+185,Gl 686,0.0294558,4.5725855E-4,3700,3656,51," dM1.0",1.0,4.87,0.07,4.807,0.032,-0.23,0.16,0.02934,7.3E-4,8.159,0.002,GAIA2,0.4268,0.013,,,0.4263,0.017,0.4421,0.011,0.4928,0.085,,,,Gl 686,264.47228,18.59171,215
J18051-030,Gl 701,0.032786373,4.97237E-4,3700,3663,51," dM1.0",1.0,4.86,0.07,4.786,0.03,-0.2,0.16,0.03279,4.9E-4,7.729,0.0036,GAIA2,0.4494,0.013,0.4638,0.0034,0.4502,0.017,0.4664,0.012,0.5339,0.091,0.4721,0.0042,,Gl 701,271.28158,-3.03132,221
J14010-026,Gl 536,0.041358255,5.9127854E-4,3700,3724,51," dM1.0",1.0,4.77,0.07,4.743,0.03,-0.04,0.16,0.04309,6.9E-4,10.41,0.0098,GAIA2,0.4985,0.014,0.5164,0.0031,0.502,0.019,0.5102,0.012,0.534,0.091,0.52,0.0043,,Gl 536,210.26328,-2.65487,174
J23245+578,Gl 895,0.055496063,0.0010464337,3600,3842,51," dM1.0",1.0,4.68,0.07,4.721,0.029,0.14,0.16,0.0544,0.001,13.23,0.0053,GAIA2,0.5262,0.015,0.5778,0.0067,0.5312,0.02,0.5621,0.014,0.4836,0.083,0.5743,0.0089,,Gl 895,351.12714,57.85431,284
J16581+257,Gl 649,0.04466296,4.1686965E-4,3600,3734,51," dM1.0",1.0,4.78,0.07,4.734,0.03,-0.08,0.16,0.04558,0.001,10.38,0.0032,GAIA2,0.5099,0.015,0.5317,0.0051,0.5141,0.02,0.5188,0.013,0.5717,0.098,0.5328,0.0074,,Gl 649,254.53687,25.74416,206
J05415+534,Gl 212,0.05688765,8.1017805E-4,3700,3875,51," dM1.0",1.0,4.69,0.07,4.719,0.029,0.08,0.16,0.05687,9.0E-4,12.28,0.0075,GAIA2,0.5289,0.015,0.5818,0.0056,0.534,0.019,0.5544,0.014,0.5,0.085,0.5788,0.0082,,Gl 212,85.37804,53.4898,60
J00051+457,Gl 2,0.044100508,6.671538E-4,3600,3675,51," dM1.0",1.0,4.84,0.07,4.731,0.03,-0.16,0.16,0.04341,8.6E-4,11.5,0.0053,GAIA2,0.5138,0.015,,,0.5181,0.02,0.5177,0.013,0.6665,0.11,,,,Gl 2,1.29537,45.78657,1
J10251-102,Gl 390,0.046243705,9.3137793E-4,3600,3780,51," dM1.0",1.0,4.72,0.07,4.736,0.03,0.06,0.16,0.04742,9.8E-4,12.82,0.016,GAIA2,0.5075,0.015,,,0.5115,0.019,0.5265,0.013,0.4933,0.084,,,,Gl 390,156.29515,-10.22869,120
J20533+621,Gl 809A,0.05364622,7.006533E-4,3700,3843,51," dM1.0",1.0,4.71,0.07,4.722,0.029,0.04,0.16,0.05409,8.9E-4,7.041,0.0015,GAIA2,0.5244,0.015,0.5694,0.0067,0.5294,0.019,0.5442,0.014,0.5147,0.088,0.567,0.009,,Gl 809,313.33245,62.15439,253
J10023+480,Gl 378,0.05933477,6.5336865E-4,3700,3785,51," dM1.0",1.0,4.72,0.07,4.685,0.029,0.05,0.16,0.06099,7.1E-4,14.96,0.0067,GAIA2,0.5741,0.016,0.586,0.0047,0.5818,0.021,0.5588,0.014,0.6313,0.11,0.5838,0.0081,,Gl 378,150.59063,48.0888,116
J22559+178,GJ 4306,0.05502623,6.766288E-4,3700,3834,51," dM1.0",1.0,4.7,0.07,4.717,0.028,0.06,0.16,0.05503,6.7E-4,16.94,0.017,GAIA2,0.5315,0.015,0.5645,0.0053,0.5368,0.019,0.5559,0.014,0.5167,0.088,0.5628,0.0081,,GJ 4306,343.99936,17.81106,281
