FilterID,Wavelength,Obs.Flux,Obs.Error,Flux,Error,FluxMod,Fitted,Excess,FitExc,UpLim
Misc/UCAC.B,4297.169,1.7343433E-14,4.792168E-16,1.7343433E-14,4.792168E-16,2.0477843E-14,1,0,,
Misc/UCAC.sdss_g,4640.42,2.552304E-14,9.403036E-16,2.552304E-14,9.403036E-16,2.862359E-14,1,0,,
GAIA/GAIA0.Gbp,5044.3657,3.2791156E-14,7.248425E-17,3.2791156E-14,7.248425E-17,3.4506076E-14,1,0,,
Misc/UCAC.V,5394.2915,3.7614575E-14,1.3857722E-15,3.7614575E-14,1.3857722E-15,3.87969E-14,1,0,,
GAIA/GAIA0.G,5857.555,5.0894615E-14,1.8750269E-17,5.0894615E-14,1.8750269E-17,5.071964E-14,1,0,,
Misc/UCAC.sdss_r,6122.3296,5.009721E-14,1.8456494E-15,5.009721E-14,1.8456494E-15,4.282422E-14,1,0,,
Misc/UCAC.sdss_i,7439.49,7.1541914E-14,1.9767763E-15,7.1541914E-14,1.9767763E-15,6.424094E-14,1,0,,
GAIA/GAIA0.Grp,7692.1694,6.241272E-14,7.4729515E-17,6.241272E-14,7.4729515E-17,6.358247E-14,1,0,,
2MASS/2MASS.J,12350.0,4.9912067E-14,1.1032972E-15,4.9912067E-14,1.1032972E-15,5.0241797E-14,1,0,,
2MASS/2MASS.H,16620.0,3.331424E-14,7.3640515E-16,3.331424E-14,7.3640515E-16,3.530016E-14,1,0,,
2MASS/2MASS.Ks,21590.0,1.5182667E-14,3.4959384E-16,1.5182667E-14,3.4959384E-16,1.549992E-14,1,0,,
WISE/WISE.W1,33526.0,3.255999E-15,6.8974376E-17,3.255999E-15,6.8974376E-17,3.2130693E-15,1,0,,
WISE/WISE.W2,46028.0,9.309302E-16,1.7148369E-17,9.309302E-16,1.7148369E-17,9.846047E-16,1,0,,
WISE/WISE.W3,115608.0,2.779208E-17,6.3993634E-19,2.779208E-17,6.3993634E-19,2.968055E-17,1,0,,
WISE/WISE.W4,220883.0,2.7234934E-18,8.628999E-19,2.7234934E-18,8.628999E-19,2.3605094E-18,1,0,,
