Karmn,Name,RA_J2000,DE_J2000,RA_J2015,DE_J2015,SpType,SpTnum,Ref_SpT,Plx,ePlx,Ref_Plx,d_pc,ed_pc,Ref_d,Lbol,eLbol,Teff,logg,Radius,eRadius,Mass,eMass,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Qf_FUV,Qf_NUV,Ref_FNUV,u_mag,eu_mag,Qf_u,Ref_u,BT_mag,eBT_mag,Qf_BT,Ref_BT,B_mag,eB_mag,Qf_B,Ref_B,g_mag,eg_mag,Qf_g,Ref_g,BP_mag,eBP_mag,Qf_BP,Ref_BP,VT_mag,eVT_mag,Qf_VT,Ref_VT,V_mag,eV_mag,Qf_V,Ref_V,r_mag,er_mag,Qf_r,Ref_r,GG_mag,eGG_mag,Qf_GG,Ref_GG,i_mag,ei_mag,Qf_i,Ref_i,RP_mag,eRP_mag,Qf_RP,Ref_RP,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2M,Qf_J,Qf_H,Qf_Ks,Ref_JHK,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Qf_W1,Qf_W2,Qf_W3,Qf_W4,Ref_Ws,Teff_meta,logg_meta,Meta_meta,Lbol_meta,Lberr_meta,Lbol_lit,Lberr_lit,M_lit,eM_lit,R_lit,eR_lit,Teff_lit,eTeff_lit,Ref_LMRT,Teff_Pas19,eTeff_Pas19,FeH_lit,eFeH_lit,FeH_lit_ref,Binarity,rho,theta,RUWE,DeltaG,gaia_id_1,ra_1,ra_error_1,dec_1,dec_error_1,parallax_1,parallax_error_1,pmra_1,pmra_error_1,pmdec_1,pmdec_error_1,pmtotal_1,pmtotal_error_1,phot_bp_rp_excess_factor_1,radial_velocity_1,radial_velocity_error_1,l_1,b_1,teff_val_1,lum_val_1,gaia_id_2,ra_2,ra_error_2,dec_2,dec_error_2,parallax_2,parallax_error_2,pmra_2,pmra_error_2,pmdec_2,pmdec_error_2,pmtotal_2,pmtotal_error_2,phot_g_mean_mag_2,phot_g_mean_mag_error_2,phot_bp_mean_mag_2,phot_bp_mean_mag_error_2,phot_rp_mean_mag_2,phot_rp_mean_mag_error_2,phot_bp_rp_excess_factor_2,radial_velocity_2,radial_velocity_error_2,Young_YMG,Young_ref,Class,Sample_source,Bool_contam,Bool_delta,Bool_young,Bool_dphot,Bool_RUWE,Bool_excess
I00235+2014,PM J00235+2014,5.8945,20.241194,5.894705330706,20.2411479456936,K7V,-1.0,Lep13,15.89986,0.062257,Gaia2,62.893635,0.246263,Gaia2,,,,,,,,,,,,,,,,15.241,0.006,false,SDSS9,12.679,0.265,false,Tycho2,12.679,0.99,false,UCAC4,11.597,0.001,false,SDSS9,11.1967,0.0217,false,Gaia2,11.004,0.08,false,Tycho2,11.004,0.99,false,UCAC4,10.311,0.001,false,SDSS9,10.5137,0.0022,false,Gaia2,9.714,0.001,false,SDSS9,9.5052,0.0204,false,Gaia2,8.138,0.02,7.498,0.018,7.337,0.021,AAA,false,false,false,2M,7.101,0.036,7.204,0.02,7.132,0.016,6.972,0.104,AAAA,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,Known,1.73,-42.4,0.818,1.18,2799053590080242560,5.89470533070616,0.0430871642427882,20.2411479456936,0.056442568875135,15.8998600269551,0.062256597158652,65.9663496853878,0.0960338472403023,-37.3808615590018,0.105938146144016,75.8214224458241,0.0985328182194454,1.4692893,-4.27574702798268,1.40058097712284,114.10430422343,-42.1525822733508,4339.6665,0.2526789,2799053590080742912,5.89503766224307,0.0645166314336446,20.2407839582457,0.0894447448184546,15.8348664565435,0.0719597514242179,56.4416933921984,0.108429609729178,-42.7107361374686,0.13291971246038,70.78044740169,0.117937220781317,11.694272,0.00148676860910714,,,,,,,,,,,Lep13,true,true,false,false,false,false
I00485+4244,PM J00485+4244,12.127819,42.74968,12.127126995457,42.7496696636262,K7V,-1.0,Lep13,27.568669,0.043287,Gaia2,36.273061,0.056954,Gaia2,0.06016347,0.0010594159,3900,5.0,0.5373,0.0146,0.5429,0.0194,,,,,,,,15.891,0.009,false,SDSS9,,,,,13.12,0.02,false,UCAC4,12.446,0.04,false,UCAC4,11.9499,0.0018,false,Gaia2,,,,,11.697,0.01,false,UCAC4,11.1,0.01,false,UCAC4,11.0451,6.0E-4,false,Gaia2,10.465,0.07,false,UCAC4,10.133,8.0E-4,false,Gaia2,9.002,0.02,8.339,0.021,8.172,0.024,AAA,false,false,false,2M,8.03,0.022,8.008,0.02,7.925,0.019,7.93,0.151,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,1.092,,375454947117341184,12.1271269954572,0.0348336215438814,42.7496696636262,0.0318981989869933,27.5686688636651,0.0432870119466838,-111.426333182901,0.0607722032842861,0.314556097794537,0.0777705438876977,111.426777177326,0.0607723576930232,1.3055307,,,122.35919243604,-20.1188226946277,4106.18,,,,,,,,,,,,,,,,,,,,,,,,,,,Lep13,false,false,false,false,false,false
I00560+4153W,PM J00560+4153W,14.020214,41.890026,14.019747768002,41.8900123922783,K7V,-1.0,Lep13,15.952863,0.048916,Gaia2,62.684674,0.192207,Gaia2,0.2308032,0.008855378,4100,5.0,0.9522,0.0295,0.9807,0.036,20.902,0.374,18.231,0.055,false,false,GALEX,14.805,0.005,false,SDSS9,12.999,0.251,false,Tycho2,12.419,0.04,false,UCAC4,11.83,0.06,false,UCAC4,11.4501,0.01,false,Gaia2,11.552,0.099,false,Tycho2,11.236,0.07,false,UCAC4,10.736,0.05,false,UCAC4,10.6754,0.0025,false,Gaia2,10.183,0.05,false,UCAC4,9.849,0.0055,false,Gaia2,8.759,0.023,8.08,0.018,7.952,0.018,AAA,false,false,false,2M,7.817,0.027,7.837,0.019,7.728,0.017,7.614,0.121,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,0.989,,375488069905212288,14.0197477680015,0.0386586211959719,41.8900123922783,0.0306042810532068,15.9528628327637,0.0489156197961727,-83.8727561013319,0.0661897398549946,3.92955985101476,0.0812558008129243,83.9647584207578,0.066226483640325,1.2711654,,,123.856918451852,-20.973401968932,4179.7935,0.23501103,,,,,,,,,,,,,,,,,,,,,,,,,,Lep13,false,false,false,false,false,false
I01007+2356,PM J01007+2356,15.194482,23.948444,15.195189352124,23.948448000465,K7V,-1.0,Lep13,24.750135,0.039209,Gaia2,40.403821,0.064007,Gaia2,,,,,,,,,22.174,0.524,19.709,0.094,false,false,GALEX,15.55,0.007,false,SDSS9,14.429,0.546,false,Tycho2,12.654,0.06,false,UCAC4,12.048,0.03,false,UCAC4,11.5655,0.002,false,Gaia2,11.497,0.11,false,Tycho2,11.313,0.05,false,UCAC4,10.732,0.03,false,UCAC4,10.7186,7.0E-4,false,Gaia2,10.492,0.51,false,UCAC4,9.8299,0.0031,false,Gaia2,8.689,0.03,8.032,0.02,7.855,0.016,AAA,false,false,false,2M,7.757,0.026,7.802,0.021,7.73,0.021,7.662,0.169,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,New,1.48,4.7,1.046,3.93,2804137761912113536,15.1951893521236,0.0326176031915368,23.948448000465,0.0292722289656417,24.7501346755879,0.0392089418724133,129.880778327833,0.0636367888519264,8.40918995904705,0.0618266235480628,130.152722041497,0.0636293394001176,1.3019091,7.51858257323863,0.517693029984445,125.674070285133,-38.8735525778154,4153.87,0.09522713,2804137766207167360,15.1952231991153,1.25568856051281,23.9488579284115,0.245204461401626,,,,,,,,,14.649137,0.0088907065100525,,,,,,,,,,,Lep13,true,true,false,false,false,false
I01065+1152,PM J01065+1152,16.644859,11.869446,16.645176800407,11.8692616630123,K7V,-1.0,Lep13,,,,44.44,16.0,Cif20,,,,,,,,,,,20.424,0.118,,false,GALEX,15.589,0.008,false,SDSS9,,,,,12.966,0.01,false,UCAC4,12.302,0.01,false,UCAC4,11.8609,0.0014,false,Gaia2,,,,,11.62,0.02,false,UCAC4,11.039,0.04,false,UCAC4,11.0262,8.0E-4,false,Gaia2,10.38,0.14,false,UCAC4,10.1181,0.0015,false,Gaia2,8.984,0.027,8.378,0.034,8.143,0.02,AAA,false,false,false,2M,8.087,0.023,8.144,0.02,8.063,0.021,7.883,0.206,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,101.818,,2584119266081073280,16.6451768004066,1.3379672960019,11.8692616630123,1.37892586107636,,,,,,,,,1.323132,,,128.80334718,-50.8297759163302,4284.4697,,,,,,,,,,,,,,,,,,,,,,,,Checked,n/a,,Lep13,false,false,false,true,true,false
I01244+1251,PM J01244+1251,21.116879,12.852018,21.116528317179,12.851325630747,K7V,-1.0,Lep13,21.332763,0.049164,Gaia2,46.876253,0.108033,Gaia2,0.11023779,0.008486238,4200,5.0,0.6271,0.0284,0.6377,0.0327,,,19.797,0.089,,false,GALEX,16.332,0.014,false,SDSS9,13.904,0.49,false,Tycho2,12.621,0.03,false,UCAC4,12.016,0.04,false,UCAC4,11.5803,0.0014,false,Gaia2,11.638,0.14,false,Tycho2,11.534,0.35,false,UCAC4,10.915,0.25,false,UCAC4,10.7989,5.0E-4,false,Gaia2,10.45,0.27,false,UCAC4,9.9612,0.0015,false,Gaia2,8.872,0.022,8.258,0.021,8.109,0.017,AAA,false,false,false,2M,8.041,0.023,8.09,0.019,8.032,0.022,7.874,0.206,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,0.867,,2586727273302673664,21.1165283171786,0.0401740049244984,12.851325630747,0.0338047760858898,21.3327630689481,0.0491643320487393,-74.8774315215043,0.0886977405386268,-142.952689266079,0.0835990606832134,161.375652189733,0.0847226836085456,1.2784563,-8.08213146903774,0.38263068798014,135.311711992844,-49.2248844127031,4265.7866,0.111974254,,,,,,,,,,,,,,,,,,,,,,,,,,Lep13,false,false,false,false,false,false
I01504+1817S,PM J01504+1817S,27.616814,18.296289,27.617992285867,18.2959132601833,K7V,-1.0,Lep13,33.01661,0.03963,Gaia2,30.287785,0.036354,Gaia2,0.09706899,0.0024044872,4000,4.5,0.6487,0.0181,0.6605,0.0233,,,,,,,,14.546,0.004,false,SDSS9,12.749,0.307,false,Tycho2,12.12,0.04,false,UCAC4,11.491,0.03,false,UCAC4,11.0082,0.0015,false,Gaia2,11.019,0.086,false,Tycho2,10.756,0.03,false,UCAC4,10.15,0.02,false,UCAC4,10.1121,0.0012,false,Gaia2,9.513,0.06,false,UCAC4,9.2193,0.0013,false,Gaia2,8.064,0.021,7.424,0.04,7.24,0.038,AAA,false,false,false,2M,7.084,0.049,7.175,0.02,7.126,0.018,6.953,0.084,AAAA,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,1.17,,92102618725254912,27.617992285867,0.0336065918526565,18.2959132601833,0.0313160764420072,33.0166102743065,0.0396295656574709,240.200080230759,0.0711862701410274,-78.65137979837,0.0718351503297532,252.749120843279,0.0712493630186865,1.2906164,22.0118818302158,0.251195984253771,142.042918149174,-42.3745760281107,4008.7349,0.10241386,,,,,,,,,,,,,,,,,,,,,,,,,,Lep13,false,false,false,false,false,false
I01567+2948,PM J01567+2948,29.182293,29.810827,29.181596247145,29.8110494113171,K7V,-1.0,Lep13,20.987623,0.038834,Gaia2,47.64713,0.088163,Gaia2,0.11586815,0.0029217883,4100,4.5,0.6746,0.0185,0.6879,0.0239,,,20.534,0.139,,false,GALEX,15.061,0.006,false,SDSS9,13.619,0.424,false,Tycho2,12.72,0.06,false,UCAC4,12.113,0.03,false,UCAC4,11.698,0.0019,false,Gaia2,12.106,0.205,false,Tycho2,11.431,0.06,false,UCAC4,10.867,0.06,false,UCAC4,10.8668,7.0E-4,false,Gaia2,10.276,0.06,false,UCAC4,10.0008,8.0E-4,false,Gaia2,8.88,0.021,8.238,0.018,8.108,0.027,AAA,false,false,false,2M,8.026,0.023,8.08,0.02,7.992,0.02,8.084,0.264,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,1.169,,300934099140189312,29.1815962471454,0.0352958501540779,29.8110494113171,0.0317975281011829,20.9876229968931,0.0388339879632415,-129.841312183481,0.0704539501925084,47.4248053741179,0.0748943950192095,138.231250136506,0.0709910409023915,1.286764,24.2965671290247,0.231238006980532,139.452179387437,-30.9576620350268,4149.36,0.115842454,,,,,,,,,,,,,,,,,,,,,,,,,,Lep13,false,false,false,false,false,false
I02301+2537,PM J02301+2537,37.535277,25.622261,37.536414562218,25.6218786179694,K7V,-1.0,Lep13,25.927509,0.039484,Gaia2,38.569073,0.058735,Gaia2,0.111849725,0.0035275759,4100,5.0,0.6628,0.0193,0.6754,0.0245,,,19.898,0.095,,false,GALEX,15.587,0.009,false,SDSS9,12.867,0.308,false,Tycho2,12.306,0.03,false,UCAC4,11.692,0.04,false,UCAC4,11.2516,0.0012,false,Gaia2,11.156,0.095,false,Tycho2,10.963,0.08,false,UCAC4,10.418,0.07,false,UCAC4,10.4186,5.0E-4,false,Gaia2,9.854,0.06,false,UCAC4,9.5587,0.0013,false,Gaia2,8.447,0.024,7.812,0.018,7.673,0.018,AAA,false,false,false,2M,7.551,0.03,7.644,0.02,7.579,0.019,7.559,0.151,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,0.974,,103173223348678144,37.5364145622177,0.0370563331817608,25.6218786179694,0.0306453638880285,25.9275092023042,0.0394840854573289,217.944167967481,0.0758087034414235,-76.3192316758509,0.0681890193744864,230.920517656248,0.0750140667578818,1.2809259,27.791254622761,0.58353349014815,149.328677659813,-32.1411866073882,4135.71,0.11561754,,,,,,,,,,,,,,,,,,,,,,,,,,Lep13,false,false,false,false,false,false
I02479+2842,PM J02479+2842,41.98273,28.712263,41.981997894017,28.7123286506991,K7V,-1.0,Lep13,34.811437,0.057871,Gaia2,28.726191,0.047755,Gaia2,0.066202655,0.002232018,4000,4.5,0.5358,0.0162,0.5413,0.0208,,,,,,,,,,,,13.558,0.398,false,Tycho2,12.496,0.08,false,UCAC4,11.837,0.06,false,UCAC4,11.358,0.0029,false,Gaia2,11.244,0.089,false,Tycho2,11.057,0.06,false,UCAC4,10.468,0.07,false,UCAC4,10.4278,6.0E-4,false,Gaia2,9.801,0.06,false,UCAC4,9.5087,0.0023,false,Gaia2,8.341,0.035,7.741,0.042,7.482,0.023,AAA,false,false,false,2M,7.388,0.034,7.379,0.02,7.306,0.018,7.164,0.122,AAAB,false,false,false,false,WISE,,,,,,,,,,,,,,,,,,,,,,,1.099,,128685947561889920,41.9819978940171,0.0444188020009052,28.7123286506991,0.0480207650872263,34.8114371500561,0.0578714145143983,-164.564968611333,0.116440839099342,11.8032047919647,0.124770823164172,164.987710261735,0.116484988165288,1.3045334,1.41732469783276,0.306844290686576,151.716173349626,-27.5692382079929,3945.8867,0.07159271,,,,,,,,,,,,,,,,,,,,,,,,,,Lep13,false,false,false,false,false,false
